,0
0,"@ELLEmagazine The AMF responds to recent '#Migraine Pose' article, encouraging collaboration between @ElleMagazine and the #migraine community. Find out more about how we can all work together to stop the stigma of migraine. #truemigrainepose #moveagainstmigraine #MHAM https://buff.ly/2IFoJUz "
1,"Have you read the @ihs_official Vancouver Declaration on Global #Headache Patient Advocacy 2018, now published in @JCephalalgia Read it now:  http://ow.ly/rZZf30kxDyq  pic.twitter.com/W95iCMNGGq"
2,Here is what's happening @JCephalalgia  http://journals.sagepub.com/toc/cepa/0/0  Free to read: Vancouver Declaration on Global Headache Patient Advocacy 2018 @daviddodick pic.twitter.com/P8t2VyWxHt
3,"⁦@amfmigraine⁩ ⁦@schwedtt⁩ ⁦⁦⁦driving #migraine, #cluster, and headache research forward with #ARMR. ⁦@MayoClinic⁩ @JeffHeadacheCtr⁩ ⁦@dartmouth⁩ Univ Colorado, UT Houston, and more to join soon! https://www.washingtonpost.com/national/health-science/there-are-some-new-ways-to-fight-disabling-migraines/2018/06/01/f956ab6e-6424-11e8-99d2-0d678ec08c2f_story.html …"
4,"⁦@amfmigraine⁩ #moveagainstmigraine campaign is for people with #migraine to learn more, find help, and get connected. Committed to eliminating #stigma and raising awareness of and respect for this disease and those affected. https://www.washingtonpost.com/national/health-science/there-are-some-new-ways-to-fight-disabling-migraines/2018/06/01/f956ab6e-6424-11e8-99d2-0d678ec08c2f_story.html …"
5,"@arizonapbs Tune in to ""Migraine Solution"" with leading experts, including Dr. David Dodick of Mayo Clinic, as they explore the struggles of trying to solve a very complex neurological disease. Sunday, June 3 at 5:30pm MST on @ArizonaPBS https://to.pbs.org/2HdAgts "
6,@KPBS @daviddodick @PBS @KateGrimsrud @clearwaterblue4 Thank you for being a #MigraineWarrior. Let’s see if we can encourage other #SanDiego #PainWarriors to do the same! Have you heard of the FB page #MoveAgainstMigraine? Join it and see how many people are from SD. #IAmAMigraineWarrior
7,"#pain mechanisms and therapeutics meeting in #Taormina, Sicily! Outstanding meeting with world’s top #pain scientists and clinicians. Entire session dedicated to #migraine. A treat to be here! pic.twitter.com/PqEeU69ulr"
8,"#MHAM is here, and the AMF wants YOU to get involved. From participating in our #MHAMSocialChallenge every Wednesday to tuning in to our weekly Facebook Lives, your options are endless. Learn how to #MoveAgainstMigraine on our website. https://buff.ly/2JmLilp  pic.twitter.com/vGf7HDFqm6"
9,"Today marks the beginning of #Migraine and #Headache Awareness Month. Stay connected and join the movement by following our social media for shareable materials, advocacy tips and more. #MHAM #NotAlone pic.twitter.com/34H3nUHQh0"
10,"For many of us, #migraine impacts the busiest years of our lives, robbing us of family relationships, friends, careers and economic stability.  Time for change! More  @daviddodick #MHAM ""You are #NotAlone https://twitter.com/daviddodick/status/1002502568667439105 …"
11,#Migraine is the 2nd leading cause of years lived with disability in the world and #1 in those between 15-49! Enough already - time for collective action is now. @amfmigraine https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5821623/ …
12,"Do you have a question about your #migraine? All of the articles in the AMF resource library is reviewed by leading #headache specialists, making sure that you can count on all of the content on our site. Visit it here.   https://buff.ly/2FxJsYN  pic.twitter.com/UK6tMsn325"
13,Grateful to @PBS for bringing much needed attention to and raising awareness of #migraine in this full feature documentary entitled the #migrainesolution! https://www.pbs.org/video/migraine-solution-ungucq/ …
14,Donate to the American #Migraine Foundation to support our efforts to invest in research and keep migraine at the forefront of #healthcare conversations. Click the link to make a difference. https://buff.ly/2J4LpyV 
15,"Join our migraine support Facebook group for access to empathetic people, headache specialists, doctor-sourced information and more.  https://buff.ly/2jknYpR  pic.twitter.com/uLGteXVSMP"
16,"@StewartTepper The FDA approved a new preventative drug for adults living with #migraine. Tell us your #CGRP migraine treatment questions, and neurologist and headache specialist @stewarttepper will answer them LIVE on the American Migraine Foundation Facebook page on Wednesday at 8 pm EDT. pic.twitter.com/2utXmBPzYv"
17,"Mrs. Deborah Heinscheid, from @amfmigraine, share the org's comprehensive actions and goals on #patient #advocacy. Inspirational...#MHIPAS2018 #Migraine #Headaches pic.twitter.com/qP0bkUxE3U"
18,"We would like to extend our gratitude to all of our members that hosted Facebook Live events with @amfmigraine. For full recaps of their discussions, visit our website.  https://buff.ly/2rfC1Bw  pic.twitter.com/psPbynileM"
19,Check this out: Cephalalgia Reports went online today! The new kid in town can be found under:  http://journals.sagepub.com/home/rep  pic.twitter.com/p9k0ERwQkH
20,Thank you to the wonderful Conference Subcommittee members for creating a fantastic #education program at this years #AANAM in Los Angeles! @jsirven @daviddodick @SKriegerMD @gordonsmithMD @AANMember pic.twitter.com/1IwH4gbYVj
21,@AANMember @gordonsmithMD @SKriegerMD @daviddodick @_AshleyHubbard We are only as good as the amazing stars that make us look so great!  Thank you AAN staff for your amazing work!
22,#Migraine is common and debilitating yet underdiagnosed and undertreated. Neurologists @daviddodick @AmaalStarling and colleagues studied rapid eye movement and visual sensitivity during attacks. @ChiaChunChiang says @kingdevicktest may help predict migraine. #AANAM pic.twitter.com/sgEkUYmQMp
23,@fenwaypark Tune in tonight at 7:10 EST and watch AHS member @rburstein as he throws the ceremonial first pitch at @FenwayPark prior to tonight’s @RedSox game. Congrats to Dr. Burstein on his major league debut! pic.twitter.com/1U0eajgwKQ
24,REBOOT: The Guardian Code is coming to @netflix March 30th and I am over the moon excited!!! http://kidscreen.com/2018/02/21/netflix-takes-worldwide-rights-on-reboot/ …
25,@ytv @netflix .@Netflix takes worldwide rights (excl. Canada) to ReBoot: The Guardian Code. Premieres on Netflix on March 30; coming to @YTV in June! http://kidscreen.com/2018/02/21/netflix-takes-worldwide-rights-on-reboot …#kidstv #cdntv 🇨🇦 pic.twitter.com/D53VsAFJR9
26,Honored by the invitation. Look forward to being with colleagues of International renown at a world class center https://twitter.com/hmru_cph/status/961872591441940482 …
27,MRF wants to fund a study on the role of hormones in migraine. We have a call for Letters of Interest for researchers right now.  http://migraineresearchfoundation.org/for-researchers/2018-mrf-impact-award/ … https://twitter.com/murraysharron/status/955960531826876416 …
28,The 2018 International Headache Academy delegates and faculty. Congratulations to all participants for making it such a unique and inspiring program! pic.twitter.com/FVS5gz1QhR – at Luskin Conference Center
29,"In 2017: #MayoClinicAZ is on target to publish 1,000+ #research papers by the end of the year #WeAreMayoClinic pic.twitter.com/bx2HtNxnJh"
30,"Living with chronic pain can be isolating, especially when it feels like no one can relate. Join our #MoveAgainstMigraine support group and get connected with more than 13,000 people who truly understand.  https://buff.ly/2il9k4G  pic.twitter.com/MrYe96zN3D"
31,#HR4HR
