,0
0,"Compared with the general population, few physicians have disabilities. But don't tell that to one @umichmedicine doctor, @Okanlami, M.D., M.S. Learn more about @UM_OHEI's very own inspiring director of medical student programs here!  #DisabusingDisability  https://www.mmheadlines.org/2018/07/disabusing-disability-a-doctors-paralyzing-injury-brings-new-perspective/?utm_campaign=Newsletter&utm_source=Newsletter_20180710&utm_medium=email …"
1,This week students started their clinical immersion at Komfo Anokye Teaching Hospital in Kumasi Ghana! They will be working with students from @_KNUST_  to identify and define unmet needs in #MaternalHealth and #emergency medicine that can be addressed with #design. #globalhealth pic.twitter.com/OUFPrgP7s3
2,"@TheRock @mat_fraser I’d love to discuss this (and our work/plans @UMich, @umfamilymed, @UM_OHEI, & @umichmedicine) with Mat, Dwayne, @JayRuderman, or anyone at @RudermanFdn or @FordFoundation. #DisabusingDisability #DocsWithDisabilities"
3,Looking forward to being part of this interview day representing @UM_OHEI. “It’s great to be a Michigan Wolverine!” #GoBlue @umichmedicine @UMichMedAdmiss https://twitter.com/umichmedadmiss/status/1018928222216605697 …
4,You are on a roll soon-to-be Dr. @tsaiduck77! I will be giving Grand Rounds at Brown in October. Would love to connect while I’m there if you are around. @UM_OHEI @umichmedicine https://twitter.com/tsaiduck77/status/1017140599475064837 …
5,"Following a transformative experience volunteering in Haiti after a devastating earthquake, Yolaine Civil, M.D., had ambitions to make a difference in Africa. Read about this recent Fulbright Scholarship recipient's journey in @umichmedicine's #Headlines:  https://www.mmheadlines.org/2018/06/a-global-scholar-fulbright-recipient-tackling-health-disparities-in-africa/?utm_campaign=Newsletter&utm_source=Newsletter_20180621&utm_medium=email …"
6,Kudos to Nicole Agaronnik for her valuable contribution to JAMA and Medicine! Using Wheelchair Ballroom Dance in Disability Education  https://ja.ma/2LaKkX1  #DocsWithDisabilities #AccessInMedEd
7,"@StacyCJones @fullerenes @Okanlami @CheriBlauwetMD @LoggheMD @DisabilityFdn @DisVisibility @Diversability @LurieInstitute @CAPD_ca @PamLiaoMD @UM_IHPI @UM_OHEI @umichmedicine @umfamilymed @MeeksLisa Thanks for creating #DocsWithDisabilities ! I was diagnosed with a mental health disability during my residency and have had a rough ride of it since then- neither my program nor I knew what to do in terms of accommodation and support. Good to see other, positive stories."
8,"Thank you for this. I’d love to discuss this, and our work/plans @UMich, @umfamilymed, @UM_OHEI, & @umichmedicine with @TheRock @JayRuderman, or anyone at @RudermanFdn or @FordFoundation. #DisabusingDisability #DocsWithDisabilities #DisabilityIsDiversity https://twitter.com/jayruderman/status/1017427606533279746 …"
9,"It's painful to watch inspiring people feel doubt about being their entire, beautiful selves. Recently, @BostonGlobe, @natlwc4bl, & @guardian wrote abt #diversity in healthcare. But what abt inclusion? It's time for D&I offices to earn their ampersand. https://blogs.scientificamerican.com/voices/diversity-and-inclusion-in-medical-schools-the-reality/ …"
10,"This was wonderfully written. The stories shared in this piece are unfortunately still realities in many (most) places. We, @umichmedicine, @umfamilymed, & @UM_OHEI are working to change that. Thank you for your work @tsaiduck77. https://twitter.com/tsaiduck77/status/1017457968198176768 …"
11,Three great reasons to love summer: @UM_OHEI's Michigan Health Sciences Summer Institute Academies. Learn more at  http://michmed.org/Q2zRX  pic.twitter.com/iq2WmQcxWr
12,IN THE NEWS | How Colleges Can Diversify Their Faculties  http://myumi.ch/JYnMx  #UMichDEI pic.twitter.com/fOdMeudTcD
13,Fullbright Postdoctoral Fellowship to Israel applications due 8/1. Details:  https://www.cies.org/program/core-fulbright-us-scholar-program … pic.twitter.com/OCrkxdlKQt
14,"@bigten Today is the last day to register to vote in #Michigan’s August 7 primary election. Help us lead the @BigTen in increasing voter registration and turnout! Head to  http://umich.turbovote.org  to register, apply for your absentee ballot, and ensure your vote counts. ✅ #B1GVotes pic.twitter.com/QkroVA0zdv"
15,Honored to have the opportunity to be back at one of my alma maters - Michigan Medicine.#DisabusingDisability #DocsWithDisabilities University of Michigan University...  http://www.mmheadlines.org/2018/07/disabusing-disability-a-doctors-paralyzing-injury-brings-new-perspective/ …
16,Class of 2021 begins their first year of #ophthalmology residency training at Kellogg Eye Center. 💯 ♀️ @UM_OHEI pic.twitter.com/1ckPGZQvws
17,Reflecting today.  Grateful for those who have given us the blessing of our freedom. Special thanks also goes out to the @umichmedicine faculty and staff spending the holiday with our patients and families. pic.twitter.com/S5ropRc9ca
18,"We applaud @umfamilymed @UMich @UMichMedAdmiss @UM_OHEI for their thoughtful response to the @WSJ about the inclusion of people with disabilities in higher education, including #MedEd  https://medicine.umich.edu/dept/family-medicine/news/archive/201805/family-medicine-faculty-u-m-partners-pen-response-wall-street-journal …"
19,"Achieving & maintaining a diverse surgical workforce is essential to eliminate healthcare disparities in patient care, improve patient outcomes, increase innovation in health research, & cultivate future generations. #UMSurgUpdates  https://medicine.umich.edu/dept/surgery/news/archive/201807/empowering-women-surgery-michigan-promise-michigan-women …’s-surgical-collaborative pic.twitter.com/5ySOesmRs5"
20,"At @UMich we remain committed to welcoming peaceful, hard-working and talented scholars from around the world who want to pursue their ambitions at colleges and universities and in so doing, strengthen our nation intellectually and economically. #SCOTUS  http://myumi.ch/J2qOZ "
21,"Epic session on leadership with some of our best! @harbauc, @JocelineVu, and @HPB_Txp_Surg led a discussion highlighting how certain behaviors can impact teams. Many humble and insightful comments from residents and faculty. #UMSurgUpdates #MichiganPromise pic.twitter.com/pSxBEoBlbc"
22,#DisabusingDisability #DocsWithDisabilities @espn @umichmedicine https://twitter.com/espn/status/1012342526064373763 …
23,"@UMich On a June day just like today, 109 years ago, a photographer on the banks of #AnnArbor's Huron River captured this scene of the @umich hospital (then on Catherine St.) in the distance. See it on this map:  http://umhistory.dc.umich.edu/mort/medical/  #ThrowbackThursday pic.twitter.com/RYuaIoGfvB"
24,#DocsWithDisabilities A Bike Accident Left This ER Doctor Paralyzed. Now He's Back At Work  https://wbur.fm/2JoT9vL  via @hereandnow
25,#GoBlueMed students interested in global health should consider attending the 2019 @CUGHnews conference in nearby Chicago. Poster/abstract presentations now being accepted:  http://www.cugh2019.org/ 
