,0
0,A Taste of Lime: Uber Invests in an Electric Scooter Company https://nyti.ms/2L5R3Bt 
1,Thanks so much for the invitation to speak at #RiseUCSF2018! https://twitter.com/KBibbinsDomingo/status/1016423554148020224 …
2,Nothing but good luck this #FridayThe13th for our fifth #NCSPScholarFriday with current @ncspMICHIGAN scholar @ATaylorKelley!! Keep an eye on our account!  http://nationalcsp.org/scholars 
3,Huge congrats to @MiraMamtaniPenn and the @UPennEM residency leadership team @K_ScottMD @LaurenWConlon for landing a @CORD_EM @TheEMFoundation grant for a multi-center study of #gender bias in EM resident evaluations.  @PennMedNews @PennLDI #FOAMed @SAEMonline https://twitter.com/CORD_EM/status/1013847184700248069 …
4, https://www.nytimes.com/2018/07/03/technology/cambridge-artificial-intelligence.html …
5, https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2685091 …
6,"After 4 years of med school plus an extra year of research, 3 years of residency, & 2 years of fellowship, today I start my first real job at @PolicyLabCHOP and @PHLPublicHealth!"
7,It's that time of year again! MSHP Orientation kicked off today at 9:00. Lovely to meet the #classof2020. See everyone tomorrow! pic.twitter.com/nj8Q9n6Ebr
8,"After years of visionary guidance, Judith  Long is stepping aside as one of the NCSP directors in order to pursue a  new and exciting opportunity -- assuming the leadership of the Center  for Health Equity Research & Promotion, a Philadelphia VA HSR&D  Center of Innovation. pic.twitter.com/PbIiqI1LjO"
9, http://www.sciencemag.org/news/2018/06/senate-panel-proposes-2-billion-54-increase-nih …
10, https://www.nytimes.com/2018/06/28/technology/facebook-twitter-political-ads.html …
11, https://www.nytimes.com/2018/06/28/business/dealbook/amazon-buying-pillpack-as-it-moves-into-pharmacies.html …
12,@PennMedicine @PhilaStreets @FederalDonuts Recycle Pop-up in Rittenhouse to #keepphillybeautiful #delightphilly with @NGFlorist @federaldonuts @philastreets @pennmedicine#lovemyjob @ Rittenhouse Square  https://www.instagram.com/p/BkVI2MLhUkO6JDYliTM5z34L34DIXSNlk_8Wr80/?utm_source=ig_twitter_share&igshid=15uv3iwatfb1v …
13,Love the recycling art to #delightphilly. Awesome support from @NGFlorist and @FederalDonuts and great work by @PM_Innovation https://twitter.com/pennmedcdh/status/1010158331615424513 …
14,#delightphilly ⁦@PennMedCDH⁩ pic.twitter.com/5daQwb4zY3
15,#delightphilly ⁦@PM_Innovation⁩ pic.twitter.com/THuG3snHsV
16,Putting smiles on kids faces #delightphilly @PM_Innovation pic.twitter.com/ZbUH9Qv9cp
17,Drive through delight! #DelightPhilly #DelightfulDonors pic.twitter.com/rMTOZ1pgFK
18,Never to young to be rewarded for physical activity! #takingthestairs #sophilly #delightphilly @PM_Innovation pic.twitter.com/g1T0pRpsp9
19,Stop by and get a pic with your pup at our recycling pop-up collab with @NGFlorist @FederalDonuts #NationalTakeYourDogToWorkDay #keepphillybeautiful #delightPhilly pic.twitter.com/9v5kFMXVNX
20,#delightphilly ⁦@PennMedCDH⁩ pic.twitter.com/2mAQyjsxJg
21, https://techcrunch.com/2018/06/19/amazon-launches-an-alexa-system-for-hotels/ …
22,@nytimes Compulsive Video-Game Playing Could Be Mental Health Problem   via @NYTimes https://nyti.ms/2MCeeEL?smid=nytcore-ios-share …
23, https://www.nytimes.com/2018/06/17/business/media/amazon-twitch-video-games.html …
24,"Just submitted my first NIH R01 and should get scores on my first AHRQ R18 in the next few days. What's the word for when you're nauseated, excited, and delirious at the same time? Naucitious? Exdelcious?"
25,MSHP is gearing up for another fabulous Implementation Science Institute with @Rsbeidas @mlanefall  and #judyshea! We look forward to seeing everyone on 6/19. https://twitter.com/Rsbeidas/status/1007635422363766784 …
26, https://hbr.org/2018/04/6-things-successful-women-in-stem-have-in-common …
27, https://www.theverge.com/tldr/2018/5/3/17316640/science-stock-photos-representation-fails-bad-stock-photos-of-my-job …
28, https://www.cnn.com/2018/05/14/health/trans-fats-who-2023-intl-bn/index.html …
29, https://www.nytimes.com/interactive/2018/05/16/magazine/health-issue-what-we-lose-with-data-driven-medicine.html …
30,"Rounding out @PennMedicine & @UPennEM’s #SAEM18 presentations: Anish Agarwal reveals the main drivers behind online ratings of hospitals and providers + what patients value most in ED/urgent care experience. Get latest on #Machinelearning @ 12:50 PM, First Floor: 106 @SAEMonline"
31,"It was great for our scholars and Masters fellows to meet with @DrLeanaWen of @BMore_Healthy this morning. Speaking about different seasons of careers, she helped scholars understand how to maximize their impact, even early on in their careers. https://twitter.com/BMore_Healthy/status/997448122312769536 …"
32,Dr. Michelle Lin of @MountSinai discussing her results on predictors of the wicked problem of Asthma ED admissions. #SAEM18 pic.twitter.com/ydJ1fLbl36
33,Congratulations to @SAEMonline for the LARGEST MEETING EVER! 🎉 #SAEM18 @AliRaja_MD @meganranney @choo_ek
34,Congratulations to @Amyjwal for winning the @SAEMAEUS resident ultrasound education award! #SAEM18 @UPennEM @PennUltrasound pic.twitter.com/AxZ1YcV2Ki
35,"In honor of #saem18 opening day Wed 5/16, Amazon is offering free downloads of the first book in the Junior Medical Detectives Series! If you love it, please review it!   https://www.amazon.com/Tummy-Hurts-Junior-Medical-Detective-ebook/dp/B00UCCJRDC … pic.twitter.com/JW4GEWu4JQ"
36,Five UPenn EM residents will be presenting original #research at #SAEM18! Best of luck @sdhallisey @UtshaKhatriMD @blutie202 @Amyjwal & Rohit Sangal! #whatiloveaboutpennem #leadersinem
37, https://jamanetwork.com/journals/jamacardiology/fullarticle/2673605 …
38, http://bicyclecoalition.org/ride-your-bike/bike-work-day-2018/ …
39, https://qz.com/1272769/food-calorie-counts-will-start-appearing-in-us-restaurants-and-grocery-stores/ …
40, https://news.yale.edu/2018/05/09/15-million-gift-expand-blavatnik-fund-innovation-life-sciences …
41, https://mashable.com/2018/05/09/google-ai-addiction/ …
42,Our work using AI-backed radio sensing to monitor dementia is highlighted in MIT Technology Review @techreview in this piece by @emilylmullin. https://www.technologyreview.com/s/609236/ai-can-spot-signs-of-alzheimers-before-your-family-does/ …
43,Good morning Toronto! I’m up and ready for my talk at #RiM2018 on using #innovation to improve outcomes from cardiac arrest! #beautifulday #techforgood pic.twitter.com/fuqzC4RQt9
44,Lovely to see everyone at MSHP's 10th Anniversary last week! pic.twitter.com/N92Vg8t3Bu
45, https://news.harvard.edu/gazette/story/2018/04/most-transformative-meds-originate-in-curiosity-driven-science-evidence-says/ …
46,The National Clinician Scholars Program is now accepting applications for the 2019-2021 Cohort starting today! Applications are due by August 1. You may apply here:  http://nationalcsp.org/apply  pic.twitter.com/XunfmTIVFG
47, https://techcrunch.com/2018/05/02/lyft-commits-1-5-million-to-help-people-who-lack-access-to-transportation/ …
48, https://www.nytimes.com/2018/04/29/arts/design/play-streets-los-angeles-boyle-heights.html …
49, https://www.nytimes.com/2018/04/26/technology/amazon-prime-profit.html …
50,Penn NCSP Director Raina Merchant and Penn CSP alumnus @zacharymeisel analyzed analyzed 836 Yelp reviews that mentioned an opioid medication.   https://ldi.upenn.edu/healthpolicysense/yelp-reviews-and-opioids … @NationalCSP @CSP_AA
51,With the @UPennEM family #CORDAA18 @Amyjwal @UtshaKhatriMD @K_ScottMD @LaurenWConlon @MiraMamtaniPenn pic.twitter.com/HYvYkefFWH
52,"Today @PennLDI: thought-provoking roundtable with our Distinguished Health Policy Fellow Nicki Lurie on 'equitable access' to vaccines. Great group, great discussion pic.twitter.com/wfZrQhje5T"
53,Check out this infographic on on stats from recent Owen et al Resus publication on association of race & SES on AED training and awareness... more people need to know what an AED is & how/when to use!! pic.twitter.com/4NsGpxeu1z
54,"We know there are significant #disparities in who receives, and is trained in, CPR. Now thx to @Penn_CRS we know that there are also disparities around AED knowledge. Latinos are less likely to know what an AED is and less likely to know how to use it.  https://www.ncbi.nlm.nih.gov/pubmed/29631005  pic.twitter.com/ud2KsvWp9G"
55,"ALS and PLS draft CoSTRs are still open for public comment until April 30th. Head over to  http://ilcor.org/costr , create an account and join the discussion! #ilcorcostr"
56,@ahaecc great talk by @BlairBigham - time to tell better stories about what matters in healthcare
57, https://jamanetwork.com/journals/jama/fullarticle/2678619 …
58, https://www.nytimes.com/2018/04/07/health/health-care-mergers-doctors.html …
59,Napping in a New York Minute - The New York Times https://www.nytimes.com/2018/03/29/nyregion/napping-in-a-new-york-minute.html …
60,A tiny sensor on your tooth could help keep you healthy | Science | AAAS so wild http://www.sciencemag.org/news/2018/03/tiny-sensor-your-tooth-could-help-keep-you-healthy …
61,Penn Evidence-Based Decision Support Expert Named to Chair PCORI Panel @PennLDI @craigumscheid https://ldi.upenn.edu/news/penn-evidence-based-decision-support-expert-named-chair-pcori-panel …
62,"Limiting training hours makes med residents happier, but not better, trainees | Penn Today @PennMedCDH our @aschjm https://penntoday.upenn.edu/news/limiting-training-hours-makes-medical-residents-happier-not-better-trainees …"
63,Patient engagement must strive for ‘co-production’ of health.  So proud to welcome Mark Smith to @PennLDI.  Great insights from one of our @NCSP_Penn alums. pic.twitter.com/h5yqaTjIZx
64,There are many areas for disruption through promoting patient self service opportunities in health care (think ATMs and Expedia). pic.twitter.com/fSJRuXlH95
65,"Check out this series in the @TheLancet on the current state of OHCA & challenges w/investigation ""... time-sensitive nature of OHCA makes it a unique medical emergency. In no other medical situation is there such a vital reliance on the community"":  http://www.thelancet.com/series/out-of-hospital-cardiac-arrest …"
66,What Happens When the Patient Becomes the Boss? | Time http://time.com/5207531/what-happens-when-the-patient-becomes-the-boss/ …
67,The Science People See on Social Media | Pew Research Center @PennMedCDH http://www.pewinternet.org/2018/03/21/the-science-people-see-on-social-media/ …
68,Crowd-sourced map showcases campus accessibility in real time | Penn Today https://penntoday.upenn.edu/news/crowd-sourced-map-showcases-campus-accessibility-real-time …
69,Honoring Women of Color at Penn | Penn Today https://penntoday.upenn.edu/news/honoring-women-color-penn …
70,"Want to know what drives patient satisfaction in the #ER? @UPennEM @NCSP_Penn fellow Anish Agarwal and @RainaMerchant analyzed >30,000 @Yelp reviews:Bad reviews: IV placement, access to nurses, painGood reviews: timeliness/quality of care, hospital food @EmergencyDocs pic.twitter.com/7IF6x3KHrq"
