,0
0,#urologist declares no surgery in metastatic #RCC #ASCO18 congratulations to our French colleague! pic.twitter.com/5ybKRp2VCN
1,#genomics #personializedtherapy in #breastcancer. #prostatecancer is next! #ASCO18 pic.twitter.com/E0YOcIxKL2
2,Not all micrometastic PCa is an emergency #asco18 pic.twitter.com/F0j08ikH9B
3,Finally FDA approves ipilimumab+ nivolumab for IMDC intermediate and poor risk mRCC pic.twitter.com/xxQGYXxP5I
4,#liquidbiopsy time! #AACR2018 pic.twitter.com/BBTvDC0oNq
5,did @ChrisSweens1 just quote @Eminem at #GU18 ????
6,William Shipley gave a convincing case AGAINST adjuvant RT! #GU18 https://twitter.com/onco_uroloog/status/961645832826007552 …
7,A great debate! @DrPaulNguyen !  Rad Onc  against adjuvant RT and Surgery for ART?!?!
8,We salute @Howie2241 for 21 years of leadership at RTOG in the GU committee! pic.twitter.com/FDAS6uJodJ
9,Come and learn about the current state of science in urologic oncology in LA: https://www.dropbox.com/s/oedrijhssf5rt99/v2_cedarsinai.pdf?dl=0 …
10,Watch “The Donald Coffey Story” on #Vimeo  https://vimeo.com/138298248?ref=tw-share …. On 11/10 we lost our Chief.  #RIP #DonaldCoffey
11,#pcfretreat17  real collaboration @nhbander @cnsternberg
12,@EpicSciences @rdittamore @RDittamore presents new data on @epicSciences CTC technology. Ryan has done so much to advance this science #PCFRetreat17 @PCF_Science pic.twitter.com/AcQQwSCHG0
13,Dr. Don Coffey #firstgenCancerWarrior #mentorofmentors #innovation #cancerresearch @PCFnews #pcfretreat17 #younginvestigatorday pic.twitter.com/HvuF0w8KWz
14,"""Arrogance is the most dangerous thing we find in smart people"". Don Coffey. #pcfretreat17 #quotes"
15,"""Do not let the bastards get you down"" Don Coffey, rejected by 23 grad schools.   #PCFRetreat17 #persistence pic.twitter.com/45uw5BJ32Y"
16,"Dr. Don Coffey, father of PCa research addresses PCF YIs @PCF_Science #PCFretreat17 #ProstateCancer pic.twitter.com/42OVipQB21"
17,Good morning @PCFnews glad to share @NCI_CSSI insights at #PCFRetreat17 #younginvestigatorday #innovation #teamscience #cancerresearch pic.twitter.com/FSpkF8V3IS – at Omni Shoreham Hotel
0,@emkhowley What Is HER-2-Positive #BreastCancer? by @emkHowley featuring @DrNimmiKapoor #HER2+ #bcsm | Patient Advice | US News https://health.usnews.com/health-care/patient-advice/articles/2018-06-15/what-is-her-2-positive-breast-cancer?src=usn_tw …
