,0
0,Our work with the fantastic @SimonWad @Batten_PSDLA and many more fantastic collaborators now out in @NatureMedicine. Fetal #GeneTherapy for #GaucherDisease . Funded by @The_MRC and @GauchersA. https://www.nature.com/articles/s41591-018-0106-7 …
1,"Being a stay at home dad just after my oldest son was born was what got me into working in pediatrics. Now he's finishing college and about to start a PhD in Chemistry, despite my example! Way to go Zig!"
2,"This is my last day at LABioMed at UCLA Medical Center as the lab is moving to Washington University School of Medicine, St Louis. @LABIOMED52 has been a great home for the last 2 years, but the move will be be wonderful for our #Battendisease research"
3,"Today is the day! Individuals and organizations across the globe are united on #BattenDay2018 to share experiences, raise awareness and show support for the thousands of lives and families that...  https://www.facebook.com/story.php?story_fbid=2176989895648988&id=112013128813352 …"
4,Marking Batten Disease Awareness Day meeting up in San Francisco with Tom Wishart from Edinburgh to discuss our ongoing Batten disease projects #battendisease #battendiseaseawareness @BattenDiseaseUK @BDSRA
5,"@BattenDiseaseUK Today is Batten Disease Awareness Day. So much love, respect and thoughts go to all the children & families affected by this exceptionally cruel, rare disease. #battendisease #battendiseaseawareness #battendiseaseawarenessday#raredisease @battendiseaseuk ❤️🙏🏼❤️ pic.twitter.com/C21kzBiMbK"
6,Today is #battendiseaseawarenessday2018 can you shout out about #battendisease today? pic.twitter.com/n8Yd3KDXYG
7,Celebrate #battendisease awareness day - go orange! @BAT_Cure working on @BattenDiseaseUK  research grants today. pic.twitter.com/1We6WE24pV
8,please RT to show your support and HELP SPREAD AWARENESS OF BATTEN DISEASE pic.twitter.com/y1IQpFxCLx
9,sign the petition for #battendisease.  https://chn.ge/2LnWOui  via @UKChange
10,If only it was this easy... https://twitter.com/James_W_C/status/992739293796950018 …
11,Super proud of Claire & George. The words “Batten Disease” still remains unknown and very alien to so many people. The awareness being raised in this campaign is simply fantastic. I for one am so very grateful ❤️ @BattenDiseaseUK #battendisease #dementiastrikeschildrentoo https://twitter.com/joan_cummins/status/986646172466057216 …
12,"The Dementia Strikes Children Too campaign aims to raise awareness of childhood dementia, drive for better clinical education of the disease, and put in place the systems and tools for earlier diagnosis.#DementiaStrikesChildrenToo #ChildhoodDementia pic.twitter.com/JPzYdmjQ1H"
13,"89,445 signatures,pls RT to help get even more💕thank you https://www.change.org/p/nhs-england-help-fund-the-only-treatment-for-children-with-fatal-batten-diesease?recruiter=125732515&utm_source=share_petition&utm_medium=copylink&utm_campaign=share_petition&utm_term=share_petition …"
14,#RDDNIH Margie Frazier @BDSRA describes #BattenDisease - tells a harrowing parents story - one that lasts for over a decade pic.twitter.com/QUvoPiCRMe
15,"BDSRA Executive Director Margie Frazier, PhD will be speaking at Rare Disease Day at NIH today at 10:45 AM! You...  https://fb.me/UFSCtqEZ "
16,"It's Rare Disease Day today! Please retweet to show your support for families everywhere who live with rare diseases every single day, the non-profit organizations and all those that support them #fb #battendisease @BDSRA @BattenDiseaseUK #RareDiseaseDay #RareDiseaseDay2018 pic.twitter.com/zEFUIuv6K8"
17,It’s #RareDiseaseDay please follow our precious girls journey with Batten Disease @nrichfoundation pic.twitter.com/Uihk5TbP1Q
18,NCL2018 website is live! #battendisease @BattenDiseaseUK @BAT_Cure  http://www.ncllondon2018.com  on my way to a planning meeting at UCL @SaraEMole
19,Today is #RareDiseaseDay. @SaraEMole studies the genetics and biology of  #BattenDisease and is looking for much-needed therapies. To know more:  http://www.ucl.ac.uk/lmcb/users/sara-mole …#lysosomaldisease @ucl_slms @MRC_LMCB pic.twitter.com/JmAmg24ipO
20,#RareDiseaseDay is tomorrow! Join #BDSRA in celebrating and spreading awareness. Visit…  https://www.instagram.com/p/BftbhoNhj1Q/ 
21,Work closely with patient organizations. Find collaborators with complementary skills. Be motivated and don’t let failure discourage you. Bring patients to every science meeting to remind people why this work really matters. #NIHChat https://twitter.com/MargaretAinDC/status/967107362652938241 …
22,"Come on guys, do the right thing. If you’ve never heard of Battens take 5 minutes to read the threads and help us by adding your signatures. If it was someone you knew you’d already be doing it! https://twitter.com/melhall10/status/966421644184088576 …"
