,0
0,Thank you for AWESOME experience today in Boston! Amazing people! @MGHPallCare @NorthwesternMed #Geriatrics pic.twitter.com/mx11kOmZiZ
1,Thank you @_workingmother_! We're honored to receive this recognition #DBPInclusionIndex https://twitter.com/_workingmother_/status/1021784571380039680 …
2,@NorthwesternMed Bayer Announced It Will Stop Selling  #Essure. Should women who currently have an ESSURE  have it removed? Tune in tomorrow  @WGNMorningNews  9:15  https://www.self.com/story/bayer-stop-selling-essure-in-the-us … via @SELFmagazine @northwesternmed
3,"Hey, parents! Beat the #stress of #summervacation with these #selfcare tips from a Northwestern Medicine psychologist. http://bit.ly/2NJ5XOX "
4,Drs. Ansari and Darwish representing @NorthwesternMed at @SNISinfo #SNIS2018 meeting! pic.twitter.com/mYTUzP0fOZ – at Hilton San Francisco Union Square
5,#TAVR procedures are providing patients with a minimally invasive alternative to open heart surgery. #Cardiology http://bit.ly/2mz4xeF 
6,Combat #Alzheimers and #Parkinsons with some #summerfun and #aerobics. http://bit.ly/2NyIX59 
7,Who says cake can't be #brainfood? 🧠🎂😋 #NMNeurology #NMBetter pic.twitter.com/fSEbIgrKu4
8,"Alcohol-related liver deaths have skyrocketed among millennials, according to a new study. Haripriya Maddur, MD, transplant hematologist at Northwestern Memorial Hospital, weighs in. https://www.nbcnews.com/health/health-news/deaths-liver-disease-are-surging-drinking-blame-n892521?sf90615189=1 …"
9,Does #chocolate cause #migraines? #Coffee prolong life? #Fertility treatments promote #ovarian cancer?  http://bit.ly/2L6BCgI … for this mornings segment on @WGNMorningNews @NorthwesternMed pic.twitter.com/jP4DvsQQNx
10,"Scientists @NorthwesternMed have discovered a protective cellular mechanism that kicks in during iron deficiency, keeping cells running even in the face of continued iron deprivation, according to a study published in @PNASNews:  http://bit.ly/2mt6MzW  pic.twitter.com/F5A5YwuLoQ"
11,A beautiful night and a great event with amazing colleagues!!  #purplepride #summerinchicago #WomenofNorthwestern https://twitter.com/NU_WFO/status/1019740789604257794 …
12,Northwestern Medicine is taking the lead in finding new ways treat the number one cause of death in the world. http://bit.ly/2msxc4X 
13,Could a #ChicagoHotDog ever be considered healthy? We dare you to try. Check out our step-by-step recipe! #NationalHotDogDay  http://bit.ly/2Ns6ODO  pic.twitter.com/6cI9ogqO4H
14,It was an honor to care for you and help with your #fibroids ⁦@NorthwesternMed⁩. https://wgntv.com/2017/10/23/fibroids-and-fertility/ …
15,New research from Northwestern Medicine shows potential for reducing the severity of #allergicreactions. http://bit.ly/2NsSACn 
16,"Healthcare providers are invited to attend the 2018 Northwestern Medicine Comprehensive Stroke and Cerebrovascular Conference on Saturday, October 13 at the Hyatt Centric Chicago Magnificent Mile. Book your seat now! http://bit.ly/2NmRYyj "
17,@NorthwesternMed @CountryPumpDoc speaks to @Suntimes and @chicagotribune about the rare heart condition that tragically took the life of a @ChicagoFireDep rescue diver: https://chicago.suntimes.com/news/juan-bucio-cfd-diver-autopsy/ …
18,"Due to increased patient volumes, expect extended wait times in the Kishwaukee Hospital Emergency Department. For minor illnesses or injuries, please consider visiting your primary care physician or Northwestern Medicine Convenient Care Sycamore located at 1850 Gateway Drive."
19,We'll be LIVE on @facebook today at 1:15pm CST with two of our @NMCardiology physicians! Tune in to learn more about the latest advances in #cardiacsurgery at Northwestern Medicine. #HeartHealth #Cardiology pic.twitter.com/I1rHkTF77c
20,"#behindthescenes @NorthwesternMed’s Haripriya Maddur, MD speaks with @DrJohnTorres about the rising number of millennials being diagnosed with #liverdisease ! Tune in to @NBCNightlyNews tomorrow evening! pic.twitter.com/SVcmyGJTFJ"
21,Always a good day working with @NBCNewsHealth! Looking forward to their upcoming segment on @NorthwesternMed’s efforts to address the opioid epidemic. @JJStulberg pic.twitter.com/JeQk2c8rcV
22,Scientists have identified thousands of molecules unique to human fat cells that may play an important role in fat metabolism.  http://bit.ly/2zZiaNR  #metabolism #genetics @sciencemagazine pic.twitter.com/HQBcZcINDk
23,"Martella, a longtime friend and fellow Northwestern Medicine nurse, surprised @BonnieHunt_real on the set of @WindyCityLIVE earlier today. Thank you both for touching the lives of so many patients in and outside these hospital walls! pic.twitter.com/zEAmMS82RR"
24,"#CardiacSurgery is one of the most rapidly evolving fields of medicine. Join us LIVE on Wednesday, July 18 at 1:15pm CST to learn how Northwestern Medicine is pioneering these incredible advances. pic.twitter.com/KCgek5rsXQ"
25,"On @QueerEye, the #Fab5 share more than fashion advice, but also how to talk with others who have differing ideologies. Dr. Reinecke, chief psychologist, offers tips to @chicagotribune on how to have productive conversations when discussing tough topics. http://www.chicagotribune.com/lifestyles/sc-fam-queer-eye-political-differences-0724-story.html …"
26,Do you #crossfit? @NaderDahdaleh & research team have published 20 papers recently & generating a significant amount of interest for paper on Cross Fit related injuries treated at @NorthwesternMed  as well as papers on #DVT after spinal surgery.  http://ow.ly/Q01i30kYuXS  #spine pic.twitter.com/YLSO9TsAWj
27,"In the latest episode of our ""Breakthroughs"" #podcast, Robert Kalb, MD, Director of @LesTurnerALS at @NorthwesternMed, explains why he is optimistic that breakthroughs in the basic biology of #ALS are on the way and a cure is possible. https://soundcloud.com/user-549060398/what-causes-als-with-robert-kalb-md …"
28,Northwestern's own @kbilimoria interviewed by @AmCollSurgeons about incorporating research into their profession https://twitter.com/AmCollSurgeons/status/1017529178818785282 …
29,"Happy birthday to CTC therapy dog Winston!  Winston visits with patients at @NorthwesternMed.  Wishing you a great day, Winston!To support Winston's comforting work, please consider donating to CTC today:  https://buff.ly/2qHJuIz  pic.twitter.com/6M0tYR5eqL"
30,Heading out on a #RoadTrip? Here are some #HeartHealthy foods that will help fuel you for your adventures. #Nutrition http://bit.ly/2mf5ubG 
31,A new @NorthwesternMed study has identified a trigger of some fibrotic diseases and an experimental compound to treat it:  http://bit.ly/2mfsHdW  pic.twitter.com/EyIv2yY4Go
32,The Northbrook Tower: Third annual digestive health gala raises record-breaking $2.41 Million  http://bit.ly/2L9BwAK  @NorthbrookTower @NMHnews @NorthwesternMed @NUFeinbergMed @ResearchNU pic.twitter.com/k2CJtufJcv
33,Julian is a great example of the modern treatment of spinal cord injury! #spine #trauma Rapid cutting edge surgery + amazing team + extraordinary patient = miraculous  recovery @NorthwesternMed @Chicago_Spine https://chicago.cbslocal.com/2018/07/11/medical-miracle-man-paralyzed-diving-accident-walks-again/ …
34,"John partakes in weight lifting, yoga, Pilates, walking and running, but would you believe us if we told you he suffered a #HeartAttack less than four years ago? @DoctorFitHeart with @NMCardiology explains to @nytimes the benefits of this recovery plan. https://nyti.ms/2me985u "
35,"Motivated by the #TourDeFrance? Turns out, biking offers quite a host of health benefits. #TDF2018 http://bit.ly/2L82uvV "
36,"Female residents report working more, experiencing certain aspects of burnout more frequently, & having poorer psychological well-being. Qualitative findings offer potential solutions. ⁦@CapriceGreenber⁩ ⁦@AmBdSurg⁩  ⁦@AmCollSurgeons⁩ https://journals.lww.com/annalsofsurgery/pages/articleviewer.aspx?year=2018&issue=08000&article=00003&type=Abstract …"
37,Did you know that @NorthwesternMed was one of the 6 centers selected by the @American_Heart to be part of a new grant-funded national network dedicated to researching & understanding the causes of atrial fibrillation? Read more about it here:  http://ow.ly/NWxx30kUnrD  #afib
38,"Nearly 80% of people face a painful #back or #neck problem at some point in their lives. Whether you need care for common injuries or complex spine surgery, @NorthwesternMed #spine specialists combine innovation & skill to help restore your movement & improve your quality of life pic.twitter.com/UtKFfSrb60"
39,#Fertility treatments and #ovariancancer. Is there a connection? Today on @WGNMorningNews 9:15. @NorthwesternMed
