,0
0,Great paper by Dr. Patel @PassmanRod @NMHheartdoc @JavedButler1 that highlights all of the challenges and great opportunities for #afib clinical trials moving forward @DCRINews @DukeHeartCenter @NorthwesternMed #mustread https://twitter.com/drjohnm/status/1019167355044356097 …
1,It’s great. Good protection and very easy to use. https://twitter.com/peterhu02/status/1017558865259450369 …
2,"Behind the scenes at AHA: 👏 for Braunwald awardee Rob Califf, Research Achievement Gary Gibbons & Chairman’s Mary Ann Bauman. I know! Some ‘unknowns’ in the field 😀. Gee, I hope their careers eventually take off! @DCRINews @nih_nhlbi @AHAScience @American_Heart @AHAMeetings"
3,Another big step forward for #afib screening. https://twitter.com/erictopol/status/1016698819747049473 …
4,Such a great program!  Made all the difference in my own career and my decision to stay in academic medicine despite overwhelming educational debt. #LRP https://twitter.com/NHLBI_Translate/status/1015280984789569536 …
5,Mechanistic insight>Reversal of adverse substrate after Catheter Abl for AF in CHF. Regression of Diffuse Ventricular Fibrosis Following Restoration of SR w Catheter Abl in Pts W Atrial Fibrillation & Systolic Dysfunction (Substudy of the CAMERA MRI Trial)  http://electrophysiology.onlinejacc.org/content/early/2018/06/21/j.jacep.2018.04.013 … pic.twitter.com/QdOlBpi2nE
6,.@HeartBobH Congratulations from all of us at @AHABayArea on being elected as national American Heart Association volunteer board president-elect. We look forward to working with you and supporting you locally. @KathyatHeart
7,"The DCRI’s @SVRaoMD will become the new editor-in-chief of Circulation: Cardiovascular Interventions, one of 12 @American_Heart scientific journals, on July 1.  https://dcri.org/rao-named-editor/ … @HeartNews @AHAScience pic.twitter.com/pKHJZLDcJF"
8,Open Access: Catheter Ablation versus Antiarrhythmic Drug Therapy for Atrial Fibrillation (CABANA) Trial: Study Rationale and Design.  https://www.ncbi.nlm.nih.gov/pubmed/29754661  pic.twitter.com/qjhRPC3UWh
9,Mechanical function of the left atrium is improved with epicardial ligation of the left atrial appendage: Insights from the LAFIT-LARIAT Registry https://www.heartrhythmjournal.com/article/S1547-5271(18)30133-4/fulltext …
10,"@DukeForge A hospital that touts a ""mortality rate of zero"" is not a real hospital.  @dukeforge https://twitter.com/coconnormd/status/1010523475864358912 …"
11,@subatomicdoc @DoctorPhillEP @Rad_Nation Quite a lot in common between #radonc and #EPeeps I’ll let a goofy slide I made for #HRS2018 do the talking. 🤓 pic.twitter.com/zO4NlOs17Z
12,Agree. Congrats @jspertus - so well deserved ! https://twitter.com/dr_bowtie65/status/1010187553465483264 …
13,#OpenAccess highlights from the June 2018 issue: Atrial fibrillation ablation using very short duration 50 W ablations and contact force sensing catheters.  https://link.springer.com/article/10.1007/s10840-018-0322-6 …#AFib #Afablation pic.twitter.com/qNRyLOy1Ym
14,"""Our society relies on Computer simulations everyday, but in Medicine this is not the case."" Professor Trayanova pic.twitter.com/QzysMjTont"
15,Hear @NotreDame Prof. Baker's inspirational TedX talk about using immunotherapy to treat cancer:  https://youtu.be/NfzxiJ__rOk  and don't forget to join us at 4. June 20 in Harper Hall for the 4th Annual Harper Cancer Research Institute Open House. Public is welcome! #cancerresearch pic.twitter.com/12NaWo36uH
16,Pocket defibrillator - interesting innovation! #SuddenCardiacArrest #AED https://twitter.com/aheightman/status/1007111709830467585 …
17,RT @JonPicciniSr: Very important issue. New-onset heart failure is 2-3x more common than stroke in patients with #afib Need prevention strategies for stroke AND heart failure. @HFSA @HRSonline @ba_steinberg @nmarrouche @DCRINews #EPeeps https://twitter.com/jaccjournals/status/1003758340957200384 …
18,@DukeHeart Tremendous leadership and inspiration. Awe inspiring work Andrew and Svati! Congratulations on a long and successful tenure. @dukeheart @DCRINews https://twitter.com/manesh_patelmd/status/1007782131874041861 …
19,REVERSE-AF effect of weight loss and managing risk factors on AF:  https://academic.oup.com/europace/advance-article-abstract/doi/10.1093/europace/euy117/5038102 … ⁦@melissaemm1⁩ ⁦@drrpathak⁩ @escardio⁩ ⁦@UniofAdelaide⁩ ⁦@SAHMRI_Heart⁩ ⁦@drjohnm⁩ pic.twitter.com/iH4IAo3eEY
20,"Douglas Packer, MD from @MayoClinicCV and Eric Prystowsky, MD talk results from #CABANA and what they mean for clinical practice. #EPonEP.   https://bit.ly/2HQymiP  pic.twitter.com/2fCRYI3hNG"
21,"Congrats, @SBRT_CR and @DoctorPhillEP! Is this the academic equivalent of being cover models?! So fancy!!! :) https://twitter.com/washuradonc/status/1006960022503481345 …"
22,"The 2018 Lead Extraction Symposium is Sept. 22 in Bloomington, MN. The symposium is designed to build a foundation for a lead extraction team. Workshops include anatomy and pathology for the extractor, lead construction, & more! Register today: http://ow.ly/h1kF30kkRuR "
23,"""Mr. Trump may well think bullying #Canada is cost-free. ... But having limited options does not mean having none."" Read full #OpEd here:  http://bit.ly/Kelly_Canada #G7Summit #Singapore pic.twitter.com/LBfQPHj6jv"
24,Chief wellness officers won’t reduce burnoutC suite doesn’t want to hear it but here is what will reduce burnout:-Appropriate staffing-Fewer clinical hours-Functional EMR-Non-physician help to do busywork -Scribes-$$ for charting done outside of clinical hours https://twitter.com/jenchuang_md/status/1005885770740137984 …
25,"""Experience is a hard teacher because she gives the test first, the lesson afterward.""-Vernon Law #MotivationMonday #BaseballRebellion pic.twitter.com/oiBTEL4frd"
26,Congrats Paulus - so very well deserved! https://twitter.com/afnet_ev/status/1006090618081284097 …
27,"1-2-3 inning for Matt Dockman to close this one out. FINAL | 🔵😈 11, Texas Tech 2Duke and Texas Tech tomorrow at 4 pm (ET). Winner goes to Omaha. #GoDuke | #RoadToOmaha pic.twitter.com/GM7Abk3rGj"
28,"How to diagnose syndrome of ""stiff LA"" after AF and DDx for dyspnea.  I've been waiting for a good review article on the topic.  This one in @hrs_journal by Nishimura and colleagues is great.  https://tinyurl.com/yc8xqtmz  pic.twitter.com/CTPmCVgoXn"
29,It’s the little things that make a big difference. AJL is a great human being; I am proud to be his @DukeCTSurgery colleague. https://twitter.com/dukesurgery/status/1005131501367955458 …
30,First go reviewing NIH grants this afternoon emphasizes two things: 1) your grant score is really just based on 3 random people and 2) we need remedial instruction on use of the mute button #grantreviewing
31,Congrats to Mike Durheim from University Hospital Rikshospitalet Oslo leading great work to help us understand #afib better in patients with chronic lung disease. #EPeeps @DCRINews @DukeHeartCenter https://twitter.com/afib_emory/status/1005072053119135744 …
32,Truth. pic.twitter.com/oqpulQRi4w
33,Eat blackberries this summer! https://twitter.com/CardioResearch/status/1004702795243507712 …
