,0
0,Well said https://twitter.com/IraLeeds_MD/status/1017927492353609730 …
1,"""If you want to have the maximum chance of survival, the person who’s going to take care of you is the person right beside you."" ~ Lenworth M. Jacobs, Jr., MD, MPH, FACS  http://ow.ly/cFRA30kVmox  #StoptheBleed @LenworthJacobs"
2,Update: #PCHETA and #CHGME have been approved by the full Energy and Commerce Committee and now await further action by the #USHouse https://twitter.com/justinmrosen/status/1011961841709469696 …
3,August JACS: Attending surgeon preference for #bouffantcap vs #skullcap does not significantly impact SSI rates after accounting for surgical procedure type.  http://ow.ly/cR5i30kI6ZA  #VisualAbstract @shanu_kothari @gundersenhealth pic.twitter.com/IHa73QwPAl
4,"New interns: This is the time when you are setting your habits. A thing to avoid: copying big portions of your note text from prior notes. In the most recent data, 46% of notes are copied and pasted, often helping ""chart myths"" persist #Tips4NewDocs pic.twitter.com/XMkkMdVd2R"
5,Our recent paper in @Health_Affairs about visit costs for ED visits by insurance type between 1996-2015.  https://www.healthaffairs.org/doi/full/10.1377/hlthaff.2018.0083 …@k_sauser @MDaware 1/
6,"Previously referenced in a consult call for a ""routine"" surgical problem as ""oh, by the way..."" https://twitter.com/NEJM/status/1016703657398669313 …"
7,"Civility in government needs to be restored. In honor of #NationalDayofCvility this Thursday, call on your member of Congress to pledge commitment to civility:  https://mikejohnson.house.gov/sites/mikejohnson.house.gov/files/sharp.la04%40mail.house_.gov_20170623_171435.pdf …"
8,Nice work! https://twitter.com/COTS_HIL/status/1016713193798987777 …
9,"Peer navigators - a wholistic, low-cost addition for treating members of some minority populations with serious mental illness.  Needs more study, but what if.....And the biggest surprise maybe - the peer navigators benefitted too.  @PCORI @NAMICommunicate https://twitter.com/PCORI/status/1013843749171027969 …"
10,"The other dr kent, building up his community bringing state of the art non-opioid spinal regional techniques to arkansas. #carolinaspain #opioidcrisis #backpain https://youtu.be/iWCBeoGeaMk "
11,Congressional staffers get livesaving skills in 'Stop the Bleed' class  http://ow.ly/jIm830kz1lL  #StopTheBleed
12,@LVSelbs @AndreaLMerrill @drewshirleymd Maybe we should do same for Trauma/ACS division at @hopkinssurgery too. I think @JosephSakran is in the lead. Doubt @jonessurgery @DrReemaKar @Alistair_MD and I will ever catch up. #GoalSecondPlace #SurgTweeting.
