,0
0,"Color your way to 5 a day. With fresh, in-season fruits and vegetables flooding into supermarkets and local farmers markets, it's a perfect time to practice and have fun ""painting"" your plate with color.  https://mayocl.in/2KBA4Ku  pic.twitter.com/bSOzppd1RO"
1,"Lower cost, higher quality health care is right at our fingertips.  http://bit.ly/2mId1jC  via @Forbes #Telemedicine"
2,"Do you have questions about the shape of your baby's head? Join us Thursday, July 26 at 11 a.m. CT for a video Q&A with @DrAngelaMattke pediatrician, and Dr. Edward Ahn, pediatric neurosurgeon. Learn more about: #Craniosynostosis and #Plagiocephaly  https://connect.mayoclinic.org/webinar/video-qa-about-the-shape-of-your-babys-head/?date=1532563200 … pic.twitter.com/eu4WVpzHIp"
3,#MayoClinicMinute: The @CDCgov estimates 48 million people in the U.S. get sick every year from #FoodPoisoning. @DrPritishTosh says prevention is especially important in your kitchen when it comes to #FoodSafety.  https://mayocl.in/2Oe7wpm  pic.twitter.com/7rd4L5Ls1U
4,"Many people are enjoying these warm #summer days in the water. But according to the @CDCgov about 10 people die from drowning every day. Dr. Christopher Tookey says, “Anyone can have a water-related accident.""  https://mayocl.in/2A1MlE5  @MayoClinicHS pic.twitter.com/xwyMYFQIJl"
5,#Epilepsy surgery frees Kelly Daniels to enjoy her independence.  https://mayocl.in/2A3tjNg  pic.twitter.com/DTAP3maCWh
6,"Alexander Revzin, Ph.D., is the recipient of a 2018 Regenerative Medicine Minnesota Research Award. He is developing microcapsules that could be used as cell carriers during differentiation of #StemCells into pancreatic islets.  https://mayocl.in/2msFXff  pic.twitter.com/864Doa5BwV"
7,"A recent study shows that the test that doctors use to diagnose #Alzheimer’s is finding the disease later in women, and over diagnosing some men.  https://wb.md/2mDOj3G  via @WebMD #AAIC18"
8,"Just how far have we come in understanding the mechanisms of sex differences in #heartdisease? Turn knowledge into gender-specific care, at the @MayoClinic ""Heart Disease in Women"" CME course October 4-5, 2018. #physician #healthcare #womenshealth https://cveducation.mayo.edu/store/heart-disease-in-women-a-new-era-of-understanding-recognition-prevention-diagnosis-and-treatment-2018 … pic.twitter.com/hmDc7OQT6h"
9,"This fresh  salsa is a great way to use up tomatoes from your garden or farmers market.For more healthy recipes, download the Mayo Clinic app.  http://mayocl.in/2pjQr4h  pic.twitter.com/F918pYaQmD"
10,Did you miss the show? The 7/21/18 #MayoClinicRadio program is now available:  https://mayocl.in/2A3zZLD . pic.twitter.com/zEPDT8SJ1p
11,"After daughter dies at 26, parents say pay her kindness forward with #ALittleBitofLaura.   http://bit.ly/2v07x7B  via @dailyherald #ColonCancer"
12,"If you live in Olmsted County, cast your vote for the 2018 Mayo Clinic Shared Value Award winner. The winner will get a grant of up to $50,000 to address county health priorities.   https://mayocl.in/2uXFBkE  #RochMN pic.twitter.com/gqMrnmnSGl"
13,"Mayo Clinic's Biomedical Ethics Department and the Rochester Public Library teamed up to offer a free screening of the 2017 film ""Wonder"" at the Civic Theatre Sunday afternoon.  http://bit.ly/2A5iiev  via @KTTCTV #RochMN"
14,"Questions about teen #acne? @MTollefsonMD, a pediatrician and dermatologist, replies in this #MayoClinicQandA.  https://mayocl.in/2mvmsTh  pic.twitter.com/64IVpMna3U"
15,"#MayoClinicMinute: Did you know that drinking lots of water not only helps prevent #dehydration, but may also reduce the risk of developing #KidneyStones? It seems more people battle painful kidney stones in summer than any other time of year.  https://mayocl.in/2uT6kPa  pic.twitter.com/CP9HhSbYla"
16,"#Ecigarettes, sunscreen expiration, ankle weights and fitness walking, #Alzheimers and mealtime, and first aid for animal bites - in #ConsumerHealth.  https://mayocl.in/2zT5nwk  pic.twitter.com/6C9GM7AWzD"
17,"Join us next Monday, July 30, for a #FacebookLive Q&A about #myocarditis.  https://mayocl.in/2uA7gYX  pic.twitter.com/Z2UDYVaGEn"
18,"Exposure to surgery with general anesthesia is tied to a subtle decline in memory and thinking skills in older adults, according to a new Mayo clinic study published in the British Journal of Anaesthesia.  http://bit.ly/2A3O7o7  via @PsychCentral"
19,Alzheimer's researchers are used to disappointment. But a new drug is giving them reason to hope. https://usat.ly/2Ntb1qA 
20,"It's a modern day parenting dilemma - kids and screen time. How much is too much? This weekend on #MayoClinicRadio, we'll discuss how to set limits for your children with Mayo Clinic expert, @DrAngelaMattke:  https://mayocl.in/2zOZ7Wa . pic.twitter.com/len8KxSDRu"
21,"With a research grant form Regenerative Medicine Minnesota, Ping (Vicky) Chen, Ph.D., research associate, is studying a new treatment strategy using gene transfer therapy to safely target brain mechanisms that control hunger and energy output.  https://mayocl.in/2mvSX3W  pic.twitter.com/9yHqbsKxro"
22,"#MayoClinicMinute: Have you ever enjoyed a sip of an ice-cold milkshake or taken a bite of an ice cream cone only to get an instant blast of pain or #headache that lasts a few seconds? It's called a ""cold-stimulus headache.""  https://mayocl.in/2zXL5Sk  #BrainFreeze pic.twitter.com/BKMhBYLlbu"
23,"By repurposing a surgical tool, researchers advance treatment for deep #BrainTumors.   https://mayocl.in/2zJzBBS  pic.twitter.com/YDZWX9dS9t"
24,"Experts reveal the best way to prevent #migraines, sinus #headaches, and other head-throbbers this summer.  http://bit.ly/2mu0D6F  via @readersdigest"
25,"Determined to understand the reason for the strange hitch in his stride, marathon runner Pat Foley pushed forward for years until he reached the office of a Mayo Clinic movement neurologist.  https://mayocl.in/2zR1FTD  pic.twitter.com/z7qpcrVU8w"
26,RT @eBHC We're celebrating our fifth anniversary as a member of the @MayoCareNetwork! We're grateful for this collaboration which allows us to provide Mayo Clinic expertise close to home. pic.twitter.com/TNzhMkYkwC
27,"Do you know how to help someone who's choking with the #HeimlichManeuver? Hear from Joshua Moeckly, a cardiac nurse, in this #MayoClinicMinute.  https://mayocl.in/2mozHVH  pic.twitter.com/tGCpkpZyXD"
28,Vote now for the 2018 Mayo Clinic Shared Value Award winner! Learn more about each finalist and vote for your favorite.  https://mayocl.in/2zMewqt  #MayoClinicCommunity #RochMN pic.twitter.com/lPXqDXQSjE
29,Pleased to announce that award-winning journalist @webertom1 (most recently with @MPRnews) will serve as moderator at #TXFM 2018. Register today at  https://mayocl.in/2zSRXQD . pic.twitter.com/pbmQmKUalG
30,#Alzheimer's risk linked to pregnancy history.  http://bit.ly/2uOH8cD  via @medpagetoday
31,Mayo Clinic doctor researches the science behind the golf 'yips'.  http://bit.ly/2uRjEn9  via @FOX9
32,"4 tips to a safer summer. From swimming and cycling safely, to beating the heat and fighting bites.  https://mayocl.in/2NiZHyj  pic.twitter.com/9s5FicQJBI"
33,Combining innovative Mayo Clinic labs with medical businesses and creative start-up companies will help #RochMN — and benefit patients.  https://mayocl.in/2mqyDRy  pic.twitter.com/4afrYSKmX4
34,"Water is essential to good health, yet needs vary by individual. These guidelines can help ensure you drink enough fluids.  https://mayocl.in/2mnbFe2  pic.twitter.com/n6D2JSps13"
35,What treatments have #MayoClinicConnect members with chronic obstructive pulmonary disease (#COPD) found helpful? Join the discussion to learn and share your own experiences.  https://mayocl.in/2mb8F2s . pic.twitter.com/BxG5p1Akb6
36,#Moisturizer tips from a dermatologist - hear from Dr. Dawn Davis in this #MayoClinicMinute.  https://mayocl.in/2myWChv  #SkinCare pic.twitter.com/uLWIZ2fAqj
37,#MayoClinicRecipes: #Parmesan roasted #cauliflower  https://mayocl.in/2mu3TPh . pic.twitter.com/pD5ON6s917
38,"If you’ve ever considered #OrganDonation but had concerns, here are answers to common organ donation myths.  https://mayocl.in/2mpvmBJ  pic.twitter.com/qkxg9EpXo4"
39,When was the last time a movie changed how you viewed the world or helped you understand an important topic? Mayo Clinic’s Bioethics at the Cinema series uses films to create community dialogues around important ethics issues.  https://mayocl.in/2mvaJUV  #RochMN #MayoClinicMN pic.twitter.com/5ZbcnkzxPv
