,0
0,"@StanfordHumSci “In the stories of Hecuba and Helen, Euripides created strong female protagonists who persist and resist male patriarchy, who seize control of their destinies in startling ways,” says @StanfordHumsci theater and performance studies professor Rush Rehm. https://stanford.io/2JQgFBa "
1,Stanford researchers found strong evidence that hotter weather increases both suicide rates and the use of depressive language on social media. @StanfordEarth https://stanford.io/2JRd71n 
2,"“We have to start considering the pathways by which we might inadvertently create the bad form of chromium from the good and end up contaminating our aquifers,” says @StanfordEarth professor Scott Fendorf. https://stanford.io/2LytncE "
3,"A group led by Stanford materials scientist Alberto Salleo has created a stretchy patch that, when applied directly to the skin, wicks up sweat and assesses how much cortisol a person is producing. https://stanford.io/2JRCq3A "
4,.@StanfordHumSci biologists Paul Ehrlich and Rodolfo Dirzo warn that some species will face extinction within the U.S. if their movements are cut off by the continuous border wall President Trump has pledged to build. https://stanford.io/2LFl5Q2 
5,“These documents are evidence for the conversations occurring among people from different linguistic backgrounds.” says Stanford historian Rowan Dorin. https://stanford.io/2JR0u6s 
6,"""Better understanding the causes of suicide is a public health priority,"" says @MarshallBBurke. https://stanford.io/2LKkj19 "
7,"Pairing police with health-care professionals could provide better care and cost savings in the long term, writes @StanfordMed resident Nathaniel Morris. https://stanford.io/2uLglPs "
8,"Physicians' steps to avoid liability might not improve patient care, says @StanfordLaw's Michelle Mello. https://stanford.io/2LL0wyK "
9,"After Hecuba/Helen’s Stanford run, Stanford Repertory Theater will remount the production in September in Athens, the city of the story’s origin.  https://stanford.io/2JOt20C  pic.twitter.com/eNMDjWjJXK"
10,Reach beyond your current interests to develop a passion – while acquiring skills that could make you more successful in whatever you do. https://stanford.io/2JPujo2 
11,"When groundwater levels fall, changes in underground water pressure can suck arsenic out of clay like a sponge being squeezed, says @StanfordEarth's Scott Fendorf. https://stanford.io/2LKl0aS "
12,"Inspired by biology, Gail Wight makes art about life. https://stanford.io/2LeJtJd "
13,".@StanfordEng scientists have advanced a new way to store wind and solar electricity on a large scale, affordably and at room temperature. https://stanford.io/2JKWS5O "
