,0
0,"#CPStipoftheday: When building those lagging skills remember, ""be curious, not furious!"" More helpful tips on how to strengthen language/communication skills and emotion & self-regulation skills: Ways to Teach Kids How to Manage Their Emotions  https://www.goodtherapy.org/blog/12-secrets-to-teaching-your-child-how-to-manage-their-emotions-1107175 … https://twitter.com/ZEROTOTHREE/status/1019311782400315392 …"
1,"How do you operationalize Plan B? Learn strategies for implementing the #CPSapproach in the most challenging situations - register today! Think:KidsTier II - August 1-3, 2018  https://conta.cc/2IEYZYr  pic.twitter.com/24FgtQv8ki"
2,"We are stronger together. In the spirit of the ""C"" in the #CPS approach - we are pleased to collaborate w/nonprofit @flawlessgrats for our next Introductory Training.  Register today to learn how to rethink and help ""challenging"" kids:  http://www.thinkkids.org  https://twitter.com/flawlessgrats/status/1017823532703780864 …"
3,"At the core of the #CPSapproach is relationship-building & clarifying the child’s concern is a key part of that.This does not mean agreeing or disagreeing rather, just listening and not assuming you know or already understand what’s happening w/the child. #empathy #PlanB https://twitter.com/flawlessgrats/status/1017764543563489280 …"
4,"Updated link to this helpful video: Just Breathe"" by Julie Bayer Salzman & Josh Salzman  http://youtu.be/RVA2N6tX2cg  https://twitter.com/thinkkids/status/1017370586551549952 …"
5,"Our Think:Kids Certified Trainer, Beth Holliman, expands on the CPS philosophy of kids do well if they can during Tier 1 training w/this compelling video. Just Breathe"" by Julie Bayer Salzman & Josh Salzman  http://youtu.be/RVA2N6tX2cg  pic.twitter.com/yrnfHyyIl5"
6,An important reminder from the mouths of children of how it feels to struggle w/lagging skills.  “Just Breathe” – How Can Children Process Difficult Emotions? Watch this powerful video:  http://ow.ly/iBL330kUKBz #KidsDoWellIfThey #BuildSkills #ThinkSkillNotWill #CPSapproach pic.twitter.com/cRGNBbQMyE
7,"Next time you think that a child is willfully behaving poorly, think of the domains where they may be lagging skills instead. #thinkskillnotwill #mindsetshift https://twitter.com/flawlessgrats/status/1017123784711696384 …"
8,3️⃣ Phases of #Collaborativeproblemsolving Approach: 1️⃣ Assessment 2️⃣Planning 3️⃣Intervention #WednesdayWisdom #thinkskillnotwill
9,It’s a #fullhouse at the 1st day of @ThinkKids Collaborative Problem Solving Training! We are looking forward to learning skills & tools to help children with behavioral challenges succeed! #KidsDOWellIfTheyCan pic.twitter.com/dmKB9OenU5
10,"We're excited to train school staff, parents, residential staff, clinicians on how to change problem behavior! Registration for Summer Tier 1 training is now full. Summer Tier 2 training w/Think:Kids Founder & Director Dr. Ablon is another chance to learn:  https://summertier2thinkkids.eventbrite.com  https://twitter.com/flawlessgrats/status/1014197617214066688 …"
11,CPS #protip: Drill down to identify specific triggers & unmet expectations.... Learn more about changing problem behavior & take the next steps in the #CPSapproach.  Registration is still open! Think:Kids Tier 1 Training - Summer 2018:  https://conta.cc/2MMLzNj  pic.twitter.com/U7egJ82oQO
12,"""When you give a dog a name..."" The unintended side-effects of external reinforcers like incentives/rewards that we should be concerned about:  #thinkskillnotwill #CPSapproach http://www.thinkkids.org/the-unintended-impact-of-external-motivators/ … pic.twitter.com/6uV6t7qNDa"
13,"Proud to be w/@trust4kids today an organization on a mission to stop child abuse in MA. Together, via training, we're helping staff/parents build the skills & confidence they need to make sure kids have safe & healthy childhoods!Learn about them at:  http://www.childrenstrustma.org "
14,Long-term success for kids is most consistently achieved by having a supportive family system around each child... We're proud that our Collaborative Problem Solving approach helps families & staff working in foster care build important skills and strengthen relationships. https://twitter.com/youthvillages/status/1007761017957502978 …
15,Happy #FathersDay to all the dads our there who are every day doing the best that they can for their families!  Check out our colleagues @FatherhoodMGH - an excellent resource on all things fatherhood  http://www.thefatherhoodproject.org/  pic.twitter.com/HiDlw70OZX
16,"Intro training w/a room full of staff, parents, teachers, clinicians all who are invested in helping kids! The CPS approach replaces a traditional philosophy of “kids do well when they want to” w/one of “kids do well if they can!"" #CollaborativeProblemSolving #SkillnotWill pic.twitter.com/H8IfjEVyGp"
17,@ThinkKids very excited to see Dr. Ablon #NMSymposium2018 pic.twitter.com/JizGxxRPj8
18,"Go Team CPS! Representing @ThinkKids all the way from Oregon, our very well-read Certified Trainer, Beth Holliman! Today she's checking out the latest by Dr. Ablon:  http://www.changeable.life  Beth also will be leading our next Tier 1 training in Boston, MA.  https://thinkkidssummertier1.eventbrite.com  pic.twitter.com/CLHv2jPDtG"
19,"Excited to join Dr. Bruce Perry, Founder of the @ChildTraumaAcad at the  @NMTSymp: Envisioning a Better Future for Children.@ThinkKids will teach how to use the #CPS approach to ensure the appropriate levels of “good stress” needed to change the brain.  http://www.childtrauma.org "
20,Cheers to our wonderful and inspiring Think:Kids Founder & Director - Dr. Ablon!  Congrats on sharing the message that change is possible through #CollaborativeProblemSolving pic.twitter.com/85SBopaoTt
21,#KidsDoWellifTheyCan - One teacher goes against the grain of conventional wisdom & their reaction to a sleeping student is going viral for all the right reasons. http://www.upworthy.com/this-teacher-s-reaction-to-a-sleeping-student-has-gone-viral-for-all-the-right-reasons?g=2&c=ufb1 …
22,We're talking about the science of shifting minds on the West Coast today! #CollaborativeProblemSolving changing lives - https://www.ciis.edu/public-programs/public-programs-event-calendar/ablon-stuart-ss18 …
23,"UPDATE: Registration deadline for Intro to CPS w/Think:Kids extended until Friday, June 8th! It's not too late to learn this evidence-based approach. #CollaborativeProblemSolving http://www.spedchildmass.com/event/think-differently-behavioral-challenges-workshop/?instance_id=10617 …"
24,How do you look at people w.challenging behavior? Dr. Ablon of @ThinkKids @MGHPsychiatry shares that lessons learned here are applicable anywhere.  #Changeable #CollaborativeProblemSolving #Mindsetshift More at:  https://www.spreaker.com/user/arroe/j-stuart-ablon-releases-changeable … https://twitter.com/MassGeneralMDs/status/1003668075143749632 …
25,"Learn how to address challenging behaviors and build skills through Collaborative Problem Solving! Our next training opportunity is June 15th and registration ends this week! ""Think:Kids"" Challenging Behavior Workshop http://www.spedchildmass.com/event/think-differently-behavioral-challenges-workshop/?instance_id=10617 …"
26,So important!! @McHughEduCentre we use Collaborative Problem Solving - first focus on first understanding the real reason the student is experiencing difficulty from the students perspective. #planB #cps @ThinkKids https://twitter.com/SELearningEDU/status/1003113725690343427 …
27,"@ThinkKids we love our partnership w/@CollegeBoundDot  a nonprofit helping at-risk youth attain their educational goals. We also love seeing our Collaborative Problem Solving Certified Trainer -  Margaret, in #training action!! https://twitter.com/CollegeBoundDot/status/1002274670840877057 …"
28,"Next Friday, Dr. Ablon Founder & Director of Think:Kids will be sharing the  latest on #CollaborativeProblemSolving. If you're in the Boston-area, come hear him speak at this free event @booksmithtweets - we hope you'll join us!   https://www.brooklinebooksmith.com/events/2018-06/stuart-ablon-br-changeable-how-collaborative-problem-solving-changes-lives-at-home-at-school-and-at-work/ …"
29,Last Days to Register! Change Challenging Behavior - Think:Kids Intro. Training -  June 15th  https://conta.cc/2xrYOiZ  pic.twitter.com/rQshBcLr1r
30,"J. Stuart Ablon, author of CHANGEABLE, on understanding problem behavior + how to help anyone change in this piece for @PsychToday  https://www.psychologytoday.com/blog/changeable/201805/help-anyone-change-their-behavior-even-yourself … @TarcherPerigee @ThinkKids"
31,#SEL #collaborativeproblemsolving #kidsdowelliftheycan #PlanB @ThinkKids pic.twitter.com/qbuRgAPXl0
32,"How one Ohio school is shattering conventional, operant approaches to discipline by shifting teachers' perspective on trauma & their relationships w/kids. #RethinkChallengingKids Photos of Students & Teachers Upending Traditional Approaches to Discipline: https://www.theatlantic.com/photo/2018/05/ohio-ave-elementary-school-discipline/559952/?utm_source=&silverid-ref=MzEwMTkwMTI5MjMxS0 …"
33,“Collaborative Problem Solving”- all kids do well if they...can. We need to stop assuming that kids don’t want to do well or that if they just tried harder they could. We need to teach the lagging skill. @333MFSC pic.twitter.com/NpanTkodud
34,We're excited to be with some of New York City's finest today - DOE public school administrators & teachers - as we introduce the philosophy of 'kids do well if they can' in Harlem! https://twitter.com/333MFSC/status/998263015215652865 …
35,What happens when we listen and allow children to share w/us their world from their perspective? #empathy #firststep #PlanB #CollaborativeProblemSolving http://blog.ed.ted.com/2018/05/15/the-fascinating-reason-that-children-write-letters-backwards/ …
36,"1 month away from our next Intro to CPS Training at youth nonprofit Root!  Learn alongside other adults on how to make a positive impact in your programs, home, schools- anywhere where there is a child struggling w/challenging behaviors: https://salemintrotraining.eventbrite.com "
37,“I’m happy we’re using CPS.... We’re able to build relationships with the kids and they are more willing and able to talk to us.”  Watch as residential staff in one of our partner organizations describe using the CPS approach in their programs.   http://ow.ly/72f950hi6bX  pic.twitter.com/KYbQna8tDb
38,"To all the mother and mother-figures - we celebrate all that you do to make the children in your life believe that indeed, kids do well if they can! Happy #MothersDay pic.twitter.com/WeETlKuIWQ"
39,"Disruptive students need problem-solving skills, not punishment. The School Discipline Fix: Changing Behavior Using the Collaborative Problem Solving Approach is available now! Learn more and check out this summer reading/PD opportunity today - pic.twitter.com/58NBS3IOpZ"
40,What causes lagging skills? Good question! We love teaching our Collaborative Problem Solving approach and shifting adult mindsets from 'kids do well if they want to' to 'kids do well if they can!' Check out our list of training opportunities  at:  http://www.thinkkids.org/train/trainings/ … https://twitter.com/MkisilMcHugh/status/994209160094011393 …
41,Every teacher has an impact on every person they teach! We are so thankful to the teachers in our @ThinkKids community for all the incredible work they do. 👏#TeacherAppreciationDay https://twitter.com/NEAToday/status/993846455914942464 …
42,Motivators; they don't make the impossible possible. They make things that are already possible more possible. #ThinkSkillnotWill There are clear downsides to traditional behavior management systems and our #CPSapproach is a proven alternative for kids. https://www.washingtonpost.com/news/parenting/wp/2016/09/29/the-darkside-of-classroom-behavior-management-charts/?noredirect=on&utm_term=.d51ab758e1ab …
43,In #CollaborativeProblemSolving it's fundamental to reframe the challenging behaviors as skill deficits. The particular behavioral/mental conditions the child has aren't important; what is important are the skills they're missing to effectively deal w/stress. #kidsdowelliftheycan pic.twitter.com/Ze5acXnAUJ
44,"When telling a child to ""calm down"" simply doesn't work, remember - think skill not will! We appreciate this article on self-regulation and how vital it is to  understand kids' behavior or misbehavior through the lens of self-regulation: https://www.npr.org/sections/13.7/2016/07/07/484910409/why-its-self-reg-not-self-control-that-matters-most-for-kids …"
45,Thank you 🙏🏼 @NationalCouncil for inviting our @ThinkKids team to Be Heard at #NatCon18! We met many caring adults doing wonderful work and enjoyed sharing our heart & credo-Kids Do Well If They Can. pic.twitter.com/Uan8nTVVpQ – at Gaylord National Resort & Convention Center
46,3 takeaways from the #flawless Dr. Ablon:•People do well if they can ...•Skill not will •Anyone can change! @ThinkKids #NatCon18
47,Teaching #NatCon18 attendees a different way to view challenging behavior. Fact: chronic challenging behaviors are linked w/deficits in areas of neuro-cognitive skills.#KidsDoWellIfTheyCan https://twitter.com/flawlessgrats/status/988867272629506048 …
48,Day ✌️ of #NatCon18 & we are ready for all the wisdom! Can’t wait to hear from @MTM_Services @vivek_murthy @JewishBoard @ThinkKids #youareflawless pic.twitter.com/0S3XYb5GhB
49,MHNR Is happy to release the first interview from #NATCON18 with Dr. J. Stuart Ablon with @ThinkKids . We love the concepts Dr. Ablon discusses. There is wisdom to be shared in this interview. Dr. Ablon is a well known national speaker and psychologist.  http://tobtr.com/10734449  pic.twitter.com/27b52uziqK
50, http://anxietyinteens.org/thinkkids-an-overview-of-group-parent-therapy-program/ … https://twitter.com/ThinkKids/status/987456084112703488 …
51,This parent's powerful story on how #CollaborativeProblemSolving helped her family is incredible and inspires us to help more kids and families through the approach! 🙏 #Empathy is indeed key. #Kidsdowelliftheycan via @AnxietyInTeens https://twitter.com/AnxietyInTeens/status/986356619310084097 …
52,@ThinkKids  research team is recruiting K-12 teachers for a study on “Understanding  the Causes of Students’ Misbehavior.” We're advocating for support for #teachers re: managing challenging behaviors. #thinkskillnotwill Teacher's Survey link:  https://is.gd/teacherbelief   Please RT! pic.twitter.com/cmED737dm3
53,Registrations for upcoming @ThinkKids trainings are open! Start by taking an Intro. or go deeper and learn how to implement the #CPSapproach w/Tier 2 training - visit:  http://www.thinkkids.org/trainings  pic.twitter.com/99aeM2N7Q1
54,It's amazing how regulating and helpful it can be for kids to feel that they are being listened to... #BuildRelationships #BuildSkills #KidsDoWellifTheyCan https://twitter.com/NVRnorthampton/status/985998279522619398 …
55, https://natcon18.thenationalcouncil.org/wp-content/uploads/2018/02/NCBH_NatCon2018_PreliminaryProgram_r11.pdf … pic.twitter.com/TlAEBrI06x
56,"As the home of the #CPSapproach, @ThinkKids & Dr. Ablon in the Dept. of @MGHPsychiatry look fwd to presenting on the national arena of behavioral health! Learn more at #NATCON18 Thought Leader session: 'Hard Kids, New Ideas - Collaborative Problem Solving.' #KidsDoWellifTheyCan https://twitter.com/NationalCouncil/status/983705354511974401 …"
57,"ACEs present in kids as young as preschool-age is a difficult reality. Fortunately, a report from Child Trends and the National Center for Children in Poverty, is giving childcare providers guidance in dealing with children of #trauma. #kidsdowelliftheycan https://twitter.com/saludamerica/status/982290701315588098 …"
58,"Have empathy and remember it’s a matter of skill, not will! #kidsdowelliftheycan #collaborativeproblemsolving https://twitter.com/selearningedu/status/982243955772276737 …"
59,Proud to have #CPSapproach present at the 2018 Harvard Psychiatry Research Poster Session! View our Research team's presentations:   https://postersmith.com/poster/share/5kr2qo5 … ~&~  https://postersmith.com/poster/share/3lqssv5 … pic.twitter.com/iF3SUhTcOx
60,Registrations for upcoming @ThinkKids trainings are open! Start by taking an Intro. or go deeper and learn how to implement the #CPSapproach w/Tier 2 training - visit:  http://www.thinkkids.org/trainings 
61,"How do you get your preschooler to behave? What results have we seen in our outpatient clinic w/families? This week, we look fwd to sharing our research at @harvardmed to help answer these questions... #CPSapproach #evidencebased"
62,We're nothing if not kid-friendly! Dr. Ablon leads a staff meeting on a new method of implementation w/the help of an adorable colleague.  #thinkkids #babies #MondayMotivation pic.twitter.com/6xb5IKoden
63,Thank you. Proud to have represented our home institution and help reach more children through this vital outreach. https://twitter.com/MassGeneralMDs/status/980822451042111488 …
64,"Read how one school district engages students & educators in conversations, which they hope will help offset this trend of over-reliance on flawed disciplinary practices. #thinkskillnotwill #empathy #gowithplanB https://www.nytimes.com/2018/03/18/us/politics/school-discipline-disparities-white-black-students.html …"
65,"Minority kids suffer the most from school suspensions, expulsions, & arrests... #ACRC keynote @adamjohnfoss this week reminded us that ""children don't know how to articulate, not because they are black, brown, or are poor, but because they are children."" #kidsdowelliftheycan"
66,Have you read the research? Implementing the #CPSapproach has been shown to reduce seclusion & restraint in youth residential & day tx programs. Check out the article in the Journal for Residential Treatment for Children & Youth: http://ow.ly/byFj30jcnts 
67,"Yes, kids do well if they can! 🙏🏼@PlummerPromise https://twitter.com/plummerpromise/status/978980454161412097 …"
68,Sharing info.  on the #CPSapproach w/residential centers from across the globe & the incredible staff who help the kids at these programs via #ACRC #togetherthevoice! Stop on by or check us out at  http://www.thinkkids.org  pic.twitter.com/lkVgyMQgMa
69,Sneak peek of Dr. Stuart Ablon's audio book Changeable.Listen as Director of @ThinkKids shares how the #CPSapproach helped uncover the root of an 11 year-old struggles.... #ThinkSkillNotWill #Changeable http://www.penguinrandomhouseaudio.com/author/2137988/j-stuart-ablon/ … pic.twitter.com/LDkuakOIwp
70,Is problem sexual behavior just like any challenging behavior? Dr. Pollastri will be presenting these ideas at the #ACRC conference today. #togetherthevoice #tvn https://postersmith.com/poster/share/9pjknw9 …
71,"From Branford, CT to Beavertown, OR - coast to coast - we believe families do well if they can! @ThinkKids Certified members are professionally trained to help parents see their child's behavior through a different lens #thinkskillnotwill #CPSapproach  http://www.thinkkids.org/help/parentgroups/ … … pic.twitter.com/crtjpO0zNS"
72,"Next month, @ThinkKids will present at #NatCon18 - the largest behavioral health conference - spreading the message that when we rethink challenging kids, amazing things can indeed happen! #ThinkSkillNotWill"
73,"Once a student, now a teacher... Learn more about Beth Holliman, our inspiring @ThinkKids Certified Trainer who'll be leading Tier 1 training this July. Summer 2018 registration is officially open! #CollaborativeProblemSolving #July #PDdays https://www.eventbrite.com/e/thinkkids-tier-1-collaborative-problem-solving-training-july-11-13-2018-tickets-43632236193 …"
74,"Members of @ThinkKids Certified community are unified by their passion for the #CPSapproach & thru training, furthered their understanding of how to help kids.  Learn more about certification or how to apply for the future - deadlines are approaching:   http://www.thinkkids.org/train/certification/ …"
75,"An alternative to consequences that helps pursue expectations & reduces challenging behavior while simultaneously improving relationships & building life skills? Yes, this is #CollaborativeProblemSolving! Think:Kids Certified Trainer, Karen Kraut explains: https://blog.pepperlane.co/post/is-this-the-parenting-framework-youve-been-searching-for …"
76,A helpful reminder of our role as adults who play a critical part in building important skills in a child's life. #mindsetshift #thinkskillnotwill #kidsdowellifthey pic.twitter.com/SbdNJGPXeQ
77,"We're proud to share that today #MGH, our home institution, took a public stance in advocating w/healthcare workers & students against gun violence. This is a show of support to those seeking to call attention to gun violence as a medical & public health crisis. #ThinkKids https://twitter.com/MassGeneralNews/status/973990982822891520 …"
78,"We believe this is essential.  The ACE movement is a great way to create public engagement but ACE scores insufficient to create effective programs and interventions for complex children, youth and adults. @NeuroSequential @ThinkKids @PCAAmerica @ZEROTOTHREE https://twitter.com/BDPerry/status/973371273744191493 …"
79,#ICYM last night's program on childhood trauma and how essential #TraumaInformedCare is - something @ThinkKids is a very big advocate of. We're proud of the incredible work & partnership of @BDPerry! 👏 https://www.cbsnews.com/news/oprah-winfrey-treating-childhood-trauma/ …
80,YES! 🙌🏼 Brain-aligned discipline isn’t compliance-driven or punitive—it’s about supporting students in creating sustainable changes in behavior. Talking about #ACES #traumainformed #collaborativeproblemsolving https://twitter.com/misskatescott/status/971913019595698176 …
81,"""Children are much more sensitive to developmental trauma than adults."" Watch Dr. Bruce Perry as he speaks w/Oprah on the long-term impact of childhood trauma. The report airs on 60 Minutes on March 11th #KidsDoWelliftheyCan http://ow.ly/fGId30iN4pY "
82,"Wow! One @MelrosePub teacher who attended a Think:Kids training was so inspired by another program's creativity of sharing the approach, that she wrote her own #collaborativeproblemsolving rap! How fun - give it a listen! http://ow.ly/zl8j30iEnjf "
83,Indeed. #thinkskillnotwill https://twitter.com/dploughran/status/968988576993062913 …
84,"Proud to be presenting at #WPATC's Innovation in Psychiatry: Effective Interventions for Health & Society. Director of Research, Dr. Pollastri, introduces the #CollaborativeProblemSolving approach to representatives from 70 countries in Melbourne! pic.twitter.com/a3WHVMmjKO"
85,"Bullies do well if they can? In the moment of a harmful interaction, we need to understand not just the behavior, but what has led to it: http://ow.ly/7hUa30iEcnc "
86,"@ThinkKids knows: When adults rethink challenging kids, amazing things  can happen! We're spreading our message down under in Australia this  week at the World Psychiatric Association’s Thematic Congress #WPATC18  http://ow.ly/n5Bx30iEay5  pic.twitter.com/uLx2RBjXfu"
87,Via @HarvardCenter on the Developing Child https://developingchild.harvard.edu/science/key-concepts/resilience/ …
88,"Via @HarvardCenter For many kids, especially those w/#ACEs, all that it takes to counteract the effects of #trauma is a positive relationship w/just one caring adult... #Kidsdowelliftheycan #ThinkSkillNotWill"
89,"Helpful things adults should know about #trauma, including: The child is not his or her behavior. Ask yourself, ‘I wonder what’s going on with that kid?’ rather than saying, ‘What’s wrong with the kid?’ That’s a huge shift in the way we view kids. #RethinkChallengingKids"
90,True #empathy requires that you step outside your own emotions to view things entirely from the perspective of the other person. #FirstIngredient #planBwisdom #CollaborativeProblemSolving pic.twitter.com/GUxSxXj6r6
91,"One @educationweek teacher's point of view: ""We can grow children who know a deep sense of empathy and value the safety of not only themselves, but all those they share this world with. This is not the work of a moment. This is the work of a lifetime."" http://ow.ly/2XSc30iAs5E "
92,"Dr. Ablon, Director of @ThinkKids, is in the studio today recording the audiobook version of “Changeable” due this summer! We look fwd to sharing how the #CPSapproach can help make meaningful changes in behavior. #changeable pic.twitter.com/kXoTmcuRUH"
93,"@MitScientists They share their concern, you share your concern... does that rhythm sound familiar? @MITscientists find that the dance of back-and-forth exchanges is not only critical to language growth, it's also good for brain development. #ThinkSkillnotWill http://ow.ly/cxrL30ish5Z "
94,"How effective is the #CPSapproach? Check out articles, journals and more on how Collaborative Problem Solving is an evidence based-practice, and one of only a few approaches that has demonstrated remarkable effectiveness in various settings. #FridayReads  http://thinkkids.org/learn/research/ "
