,0
0,A recent aerial photo shows the progress of the @BarnesJewishWst replacement hospital. See more:  https://bddy.me/2Lp0zDi @BJC_HealthCare @ParicCorp @christnerinc @KAIDesignBuild @IMEGcorp pic.twitter.com/tQDoryKdMI
1,Dionta Cheers is a Sheet Metal Workers Local 36 apprentice. He is six months into a five-year apprenticeship and now working on the @BarnesJewishWst replacement hospital. See more:  https://bddy.me/2LpoWkm @BJC_HealthCare @ParicCorp @christnerinc @KAIDesignBuild @IMEGcorp pic.twitter.com/RPNHCBXAHt
2,Workers from multiple trades work in a main level corridor of the @BarnesJewishWst replacement hospital #construction project. See more:  https://bddy.me/2uL86Ca @BJC_HealthCare @ParicCorp @christnerinc @KAIDesignBuild @IMEGcorp pic.twitter.com/whOes6fToT
3,The Creve Coeur area of St. Louis County experienced a power outage around 9:05 a.m.that impacted @BarnesJewishWst campus. Generators at the hospital worked as expected and there was no impact to patient care. Power has been restored and we are fully operational. Thank you!
4,Looking out the window of @BarnesJewishWst into the replacement hospital under #construction - opening 2019. @BJC_HealthCare @ParicCorp @christnerinc @KAIDesignBuild @IMEGcorp https://bddy.me/2KVT6v9  pic.twitter.com/IE0Ahdj4pO
5,Happy Independence Day. Have a safe and fun-filled holiday! From @BarnesJewishWst and @BJC_HealthCare pic.twitter.com/LRiBrqsje7
6,"#Heat Exhaustion:risk factors, signs, symptoms. #ER Dr. Rick Tao @WUSTLmed @BarnesJewishWst  https://bddy.me/2KC22G7 ? pic.twitter.com/a25Zbet0Cf"
7,@BarnesJewishWst is proud to be part of @BJC_HealthCare - ranked as one of the top workplaces by @stltoday for 2018. https://twitter.com/BJC_HealthCare/status/1012070318633095172 …
8,"Congratulations Jeff Huber, security officer, employee of distinction award winner @BarnesJewishWst. @BarnesJewish @BJC_HealthCare.  https://bddy.me/2KnBmZz  pic.twitter.com/EVxpmPQefI"
9,"Madison Wolf, 10-year-old #GirlScout was recognized on @FOX2now for donating and distributing Girl Scout cookies to patients at @SitemanCenter at @BarnesJewishWst. @girlscouts  https://bddy.me/2KkOaj9  pic.twitter.com/AgalyHqyPM"
10,"Madison Wolf, 10-year-old #GirlScout was recognized on @FOX2now for donating and distributing Girl Scout cookies to patients at @SitemanCenter at @BarnesJewishWst.  https://bddy.me/2K9iNc1  pic.twitter.com/IZEeQDVgUG"
11,"If you suffer from chronic #NeckPain, you know it can make the simplest daily tasks unbearable. Find out how #neurosurgery at @BarnesJewishWst helped this mother and #nursing student find lasting relief from constant neck pain. #WashUmed #BarnesJewish https://bddy.me/2Kmztwe  pic.twitter.com/Tk4NEmvmNx"
12,"If you suffer from chronic #NeckPain, you know it can make the simplest daily tasks unbearable. Find out how #neurosurgery at @BarnesJewishWst helped this mother and #nursing student find lasting relief from constant neck pain. #WashUmed #BarnesJewish https://bddy.me/2K4lt6T  pic.twitter.com/wZlWEAOvJH"
13,"Sneak Preview: Look inside @BarnesJewishWst replacement #hospital, currently under #construction and opening in 2019. Images, floor plans, interior finishes, flooring, paint colors and more. @ParicCorp @christnerinc @IMEGcorp @KAIDesignBuild  https://bddy.me/2LSnCCT  pic.twitter.com/x1L3RHsbt1"
14,@BarnesJewishWst is proud to be part of @pridestl again this year! Join us in downtown St. Louis June 22-24. Watch our video— highlighting the @BJC_HealthCare LGBTQ+ employee networking group (BJC SPECTRA) and its mission and benefits to our employees  https://bddy.me/2LMsPMz  pic.twitter.com/RiBy9yAmZV
15,"Sneak Preview: Look inside @BarnesJewishWst replacement #hospital, currently under #construction and opening in 2019. Images, floor plans, interior finishes, flooring, paint colors and more. @ParicCorp @christnerinc @IMEGcorp  https://bddy.me/2HMeA86  pic.twitter.com/NcjbE9l4iV"
16,"Sneak Preview: Look inside @BarnesJewishWst replacement #hospital, currently under #construction and opening in 2019. Images, floor plans, interior finishes, flooring, paint colors and more.  https://bddy.me/2LJazUh  pic.twitter.com/ZSR3t6qURx"
17,"Ralph Goldsticker; French Legion of Honor recipient, World War II #Veteran, and longtime (and much loved) @BarnesJewishWst volunteer; featured in @stltoday @usairforce #WWIIVeteran https://www.stltoday.com/news/stories-of-honor/a-st-louis-bombardier-on-famed-flying-fortress-recalls-his/article_21f8c160-68d5-11e8-8dd7-9f53488cea07.html …"
18,Get your health back on track —  proven #weightloss options @BarnesJewishWst. @WUSTLmed physicians. Click to find out more  https://bddy.me/2kzwrWW  pic.twitter.com/eaWvK5P4xm
19,"This Memorial Day, we recognize the commitment, courage and extraordinary service of those who have made the ultimate sacrifice. pic.twitter.com/R8gscZ3ynH"
20,Doing Lunch—Talking Safety. #Construction worker safety is a priority on the @BarnesJewishWst replacement #hospital project. #ConstructionSafety @ParicCorp @BJC_HealthCare https://bddy.me/2saSvdG  pic.twitter.com/KtCdu3vTaV
21,Did you know clinical trials are offered at @SitemanCenter at @BarnesJewishWst? Click here to learn about #cancer #ClinicalTrials and the benefits they offer patients:  https://bddy.me/2kp3OLX  pic.twitter.com/QZ8ZJOMUns
22,"If you're suffering from long-term hip or knee pain, you need to watch this. @BarnesJewishWst patients share why #JointReplacement surgery from our skilled @WUSTLortho physicians is the best thing they've ever done for themselves. #orthopedics #jointpain  https://bddy.me/2IZzQMs  pic.twitter.com/ZcX9F32anZ"
23,"Thank you to the 15 @WUSTLmed dermatologists, including Dr. Laurin Council, who screened 277 people at the Free Skin #CancerScreening event on Saturday. Physicians found 39 incidences of #SkinCancer. This Screening was made possible by @SitemanCenter and @BarnesJewishWst. pic.twitter.com/upMiTIvYcn"
24,"Dr. Laurin Council featured on @FOX2now this morning - discussing #SkinCancer and getting your skin checked. Get a #Free Skin #CancerScreening this Saturday morning, May 19, from 9 a.m.-12:45 p.m. at @SitemanCenter at @BarnesJewishWst @BJC_HealthCare https://bddy.me/2wRbAax  pic.twitter.com/aSaijf8TA7"
25,Getting it right — Progress on the @BarnesJewishWst replacement #hospital exterior is easy to see. Not so obvious is what’s happening inside ... get the scoop on interior #construction activity. @ParicCorp @gogeco @christnerinc @IMEGcorp @BJC_HealthCare https://bddy.me/2Kuzxq9  pic.twitter.com/mErbyRqh5B
26,"Sue Flood, RN, retires after more than a half century of nursing. Sue retired from @BarnesJewishWst on May 11, after being a nurse for 52 years. “I love people, I always have,” she says. “You have to love people to be a nurse.” pic.twitter.com/WklfDeYEKI"
27,"May is #SkinCancer Awareness Month. Free Skin #CancerScreening THIS Saturday, May 19 at @SitemanCenter on the campus of @BarnesJewishWst. Participants will be examined by @WUSTLmed dermatologists, including Dr. M. Laurin Council. Learn more:   https://bddy.me/2KoxtzD  pic.twitter.com/PKN0U9OoEa"
28,"Congratulations Alyssa Thompson, pharmacist, Friend of Nursing Award Winner @BarnesJewishWestCountyHospital. Jason Barczewski, pharmacy manager (left); and Yoany Finetti, chief nursing officer, (right); presented the award.  https://bddy.me/2wBjQeu  pic.twitter.com/5nLIMmlpVu"
