,tweet,processed_tweet,polarity,subjectivity,Sentiment,Objectivity
0,~1/2 American adults have hi BP- let's do better! That’s why I focus on prevention & why @American_Heart updated its BP guidelines. I talked w/EVP @HeatherKinder1 re: real-life ways the new guidelines are helping to advance wellbeing. #livefromtheheart http://youtu.be/I-UiW1nR4h8 ,~1/2 American adults have hi BP- let's do better! That’s why I focus on prevention & why American_Heart updated its BP guidelines. I talked w/EVP HeatherKinder1 re: real-life ways the new guidelines are helping to advance wellbeing. livefromtheheart ,0.2537878787878788,0.3181818181818182,Positive,Objective
1,"There's a lot of confusion- what diet plans & #prevention strategies are right for us? Is it one-size-fits-all, or do you need special tests to determine what will work best for your body? I clear things up in my new blog - check it out!#livefromtheheart https://bottomlineinc.com/blogs/at-the-heart-of-it-all/personalize-heart-disease-prevention …","There's a lot of confusion- what diet plans & prevention strategies are right for us? Is it one-size-fits-all, or do you need special tests to determine what will work best for your body? I clear things up in my new blog - check it out!livefromtheheart ",0.3758441558441558,0.44900432900432896,Positive,Objective
2,"W/Dr Vivian Pinn, 1st Dir, @NIH_ORWH. To hear her speak is a gift. She IS the history of women’s health. Know this- she has fought hard for us. Carolee, founder of @AccessCircles, eloquently began the forum, “Stretch Your Mind. Stir Your Spirit. Move Your Soul.” #livefromtheheart pic.twitter.com/EwXjQg3L57","W/Dr Vivian Pinn, 1st Dir, NIH_ORWH. To hear her speak is a gift. She IS the history of women’s health. Know this- she has fought hard for us. Carolee, founder of AccessCircles, eloquently began the forum, “Stretch Your Mind. Stir Your Spirit. Move Your Soul.” livefromtheheart ",-0.2916666666666667,0.5416666666666666,Negative,Subjective
3,Latest from Dr. Suzanne Steinbaum  http://drsuzannesteinbaum.com/blog/2018/07/14/latest-from-dr-suzanne-steinbaum-123/ … pic.twitter.com/yxvZBdYUVY,Latest from Dr. Suzanneteinbaum   ,0.5,0.9,Positive,Subjective
4,"Honored to be in a room like this....Reminding all of us of the connection between research & patients, data & education, information & empowerment.I am always inspired and invigorated, and always getting back more than I give.Thank you @AccessCircles! #livefromtheheart pic.twitter.com/Ozp9lQKf9e","Honored to be in a room like this....Reminding all of us of the connection between research & patients, data & education, information & empowerment.I am always inspired and invigorated, and always getting back more than I give.Thank you AccessCircles! livefromtheheart ",0.3125,0.25,Positive,Objective
5,@American_Heart new BP guidelines: https://bit.ly/2L3QZ8D ,American_Heart new BP guidelines: ,0.13636363636363635,0.4545454545454545,Positive,Objective
6,"How do we protect our brains as we age? It has lots to do w/risk factors of #heartdisease. New @American_Heart blood pressure guidelines show us the importance of getting BP to goal, for heart health & brain health as well.#livefromtheheart http://www.cnn.com/2018/07/11/health/blood-pressure-alzheimers-disease-study/index.html&source=gmail&ust=1531462982819000&usg=AFQjCNHVA38931obdZnVh8EOFBBvm6cOcg …","How do we protect our brains as we age? It has lots to do w/risk factors of heartdisease. New American_Heart blood pressure guidelines show us the importance of getting BP to goal, for heart health & brain health as well.livefromtheheart ",0.13636363636363635,0.4545454545454545,Positive,Objective
7,"And now, switching to work mode....Getting ready to present on the Heart and Mind connection. Don’t underestimate the power of #prevention. #livefromtheheart pic.twitter.com/riK2pLWVEZ","And now, switching to work mode....Getting ready to present on the Heart and Mind connection. Don’t underestimate the power of prevention.ivefromtheheart ",0.1,0.25,Positive,Objective
8,Life always depends on your #perspective...#livefromtheheart pic.twitter.com/37E8vzRkGa,Life always depends on your perspective...livefromtheheart ,0.0,0.0,Neutral,Objective
9,"#Findyourbliss, your place where you can reenergize and reboot.Mine is in the mountains...skiing in the winter, hiking in the summer...The mountain air, the sounds of the birds, the smell of the flowers and the peace of nature.#livefromtheheart pic.twitter.com/y1IBjrZuBD","Findyourbliss, your place where you can reenergize and reboot.Mine is in the mountains...skiing in the winter, hiking in the summer...The mountain air, the sounds of the birds, the smell of the flowers and the peace of nature.livefromtheheart ",0.0,0.0,Neutral,Objective
10,"A patient was flipping through @Delta @InsideSKY while waiting for take-off, and spotted... me! Thrilled to be able to #SpreadTheWord of living from the heart from coast to coast, continent to continent, and across the friendly skies!#livefromtheheart pic.twitter.com/nUSpMCbOSt","A patient was flipping through Delta InsideSKY while waiting for take-off, and spotted... me! Thrilled to be able to SpreadTheWord of living from the heart from coast to coast, continent to continent, and across the friendly skies!livefromtheheart ",0.4916666666666667,0.6083333333333333,Positive,Subjective
11,Latest from Dr. Suzanne Steinbaum http://drsuzannesteinbaum.com/blog/2018/07/05/latest-from-dr-suzanne-steinbaum-117/ …,Latest from Dr. Suzanneteinbaum ,0.5,0.9,Positive,Subjective
12,"Hope you are spending the #4thofJuly as a day of celebration and fun! And of course, anticipating the fireworks! 🇺🇸#livefromtheheart pic.twitter.com/dCdS4Ql2Mf","Hope you are spending the 4thofJuly as a day of celebration and fun! And of course, anticipating the fireworks! 🇺🇸livefromtheheart ",0.46875,0.2,Positive,Objective
13,Exciting times in making a difference in women’s heart health across continents! So happy to be part of such an extraordinary group! https://twitter.com/clairetroberts/status/1013808729400041472 …,Exciting times in making a difference in women’s heart health across continents! So happy to be part of such an extraordinary group! ,0.3979166666666667,0.825,Positive,Subjective
14,"Here’s an excerpt from by book. The next line states,“When you stop and ask yourself what you like most about yourself, what’s your answer?”Think about it. I would love to know!#livefromtheheart#selflove pic.twitter.com/CKj6hY1rnZ","Here’s an excerpt from by book. The next line states,“When you stop and ask yourself what you like most aboutourself,hat’s your answer?”Think about it. I would love to know!livefromtheheartselflove ",0.3333333333333333,0.3666666666666667,Positive,Objective
