,tweet,processed_tweet,polarity,subjectivity,Sentiment,Objectivity
0,Blood clots in the deep veins of the body can be highly dangerous. Vascular surgeon Dr. Thomas Maldonado shares a few warning signs: http://bit.ly/2mzdxQO ,Blood clots in the deep veins of the body can be highly dangerous. Vascular surgeon Dr. Thomas Maldonado shares a few warning signs: ,-0.26666666666666666,0.4666666666666667,Negative,Objective
1,"Being sidelined from exercise can be frustrating, but psychologist Dr. Bonnie Marks says one of the best tools to help you get through an injury is positive self-talk. Here are a few phrases she recommends:  http://bit.ly/2mE26Yd  (via @shape)","Being sidelined from exercise can be frustrating, but psychologist Dr. Bonnie Marks says one of the best tools to help you get through an injury is positive self-talk. Here are a few phrases she recommends:   (via shape)",-0.024545454545454558,0.5690909090909091,Negative,Subjective
2,Could sleeping on the wrong type of pillow be throwing off your entire day? Dr. Rebecca Robbins explains why it’s not only unexpected nighttime habits that could put a wrench in your day:  http://bit.ly/2mmM3h8  (via @shefinds),Could sleeping on the wrong type of pillow be throwing off your entire day? Dr. Rebecca Robbins explains why it’s not only unexpected nighttime habits that could put a wrench in your day:   (via shefinds),-0.23,0.905,Negative,Subjective
3,Are you experiencing difficulty breathing from #asthma or #allergies? Allergist Dr. Purvi Parikh explains how knowing your triggers can go a long way towards preventing an asthma exacerbation.  http://bit.ly/2O8czYu  (via @SELFmagazine),Are you experiencing difficulty breathing from asthma or allergies? Allergist Dr. Purvi Parikh explains how knowing your triggers can go a long way towards preventing an asthma exacerbation.   (via SELFmagazine),-0.05,0.4,Negative,Objective
4,"A new study led by @nyuschoolofmed and published in @MayoProceedings shows that the risk of having a #heartattack during #pregnancy, while giving birth, or during the two months after delivery, continues to increase for American women.  http://bit.ly/2uRwzWr  pic.twitter.com/UZBzVv66W8","A new study led by nyuschoolofmed and published in MayoProceedings shows that the risk of having a heartattack during pregnancy, while giving birth, or during the two months after delivery, continues to increase for American women.   ",0.06818181818181818,0.2272727272727273,Positive,Objective
5,"The liver cancer death rate rose 43% in 16 years, shows a recent CDC report. Surgeon Dr. Ted Welling notes: ""The hepatitis C and non-alcoholic steatohepatitis (NASH) epidemics are the strongest contributors in many regions of the country."" More info:  http://bit.ly/2uwHmFW  pic.twitter.com/Z1WCYG8kLN","The liver cancer death rate rose 43% in 16 years, shows a recent CDC report. Surgeon Dr. Ted Welling notes: ""The hepatitis C and non-alcoholic steatohepatitis (NASH) epidemics are the strongest contributors in many regions of the country."" More info:   ",0.4,0.55,Positive,Subjective
6,"“The true heroes tonight are in this room. You show us every single day all the abilities you have,” said Dr. Steven Flanagan, from Rusk Rehabilitation, to members of our LEAP! support group. @TheRock, who plays an amputee hero in his new movie, appeared for a surprise visit. pic.twitter.com/DT6XkPwG7U","“The true heroes tonight are in this room. You show us every single day all the abilities you have,” said Dr. Steven Flanagan, from Rusk Rehabilitation, to members of our LEAP! support group. TheRock, who plays an amputee hero in his new movie, appeared for a surprise visit. ",0.13235930735930734,0.4396103896103896,Positive,Objective
7,"Dr. Erich Anderer, chief of neurosurgery, speaks out at press conference today in support of speed safety cameras—proven to prevent accidents and save lives. @NYC_DOT @TransAlt @NYC_SafeStreets @Felixwortiz #VisionZero pic.twitter.com/VmFtRTNQ3z","Dr. Erich Anderer, chief of neurosurgery, speaks out at press conference today in support of speed safety cameras—proven to prevent accidents and save lives. NYC_DOT TransAlt NYC_SafeStreets Felixwortiz VisionZero ",0.0,0.0,Neutral,Objective
8,"Have you ever put off or altogether skipped a preventative health screening? Dr. Eric Goldberg, a specialist in internal medicine, shares the big health benefits of keeping them on your calendar. http://bit.ly/2KW0kju ","Have you ever put off or altogether skipped a preventative health screening? Dr. Eric Goldberg, a specialist in internal medicine, shares the big health benefits of keeping them on your calendar. ",0.0,0.05,Neutral,Objective
9,"Parkinson's patients worked with clay, paint, and other materials for more than 10 weeks of art therapy workshops—the effort is part of a study by @nyusteinhardt and @nyulangone.  http://bit.ly/2mkq8ak  pic.twitter.com/vKI7WJ9daE","Parkinson's patients worked with clay, paint, and other materials for more than 10 weeks of art therapy workshops—the effort is part of a study by nyusteinhardt and nyulangone.   ",0.1875,0.4375,Positive,Objective
