,tweet,processed_tweet,polarity,subjectivity,sub,obj,pos,neg,neu,Sentiment,Objectivity
0,A new analysis suggests that complications are significantly reduced with leadless cardiac pacemakers: https://cle.clinic/2KpysjG ,A new analysis suggests that complications are significantly reduced with leadless cardiac pacemakers: ,0.15378787878787878,0.4431818181818182,0,1,1,0,0,Positive,Objective
1,New research is examining whether hyaluronic acid protects the gut and prevents alcohol-related neuroinflammation: https://cle.clinic/2mt2Qzo ,New research is examining whether hyaluronic acid protects the gut and prevents alcohol-related neuroinflammation: ,0.13636363636363635,0.4545454545454545,0,1,1,0,0,Positive,Objective
2,A young man in his early 20s presented with progressively worsening left hip pain: http://cle.clinic/2C74E6I ,A young man in his early 20s presented with progressively worsening left hip pain: ,0.06666666666666668,0.2333333333333333,0,1,1,0,0,Positive,Objective
3,Atypical antipsychotics may help fill a niche for adjunctive treatment of chronic pain syndromes: https://cle.clinic/2qnY20j ,Atypical antipsychotics may help fill a niche for adjunctive treatment of chronic pain syndromes: ,0.0,0.2,0,1,0,0,1,Neutral,Objective
4,An overview to help sort out conflicting evidence regarding the treatment of anemia of chronic kidney disease: https://cle.clinic/2HFKW9A ,An overview to help sort out conflicting evidence regarding the treatment of anemia of chronic kidney disease: ,0.0,0.0,0,1,0,0,1,Neutral,Objective
5,A 54-year-old man on immunosuppressants after a renal transplant presented with a recurrent ocular surface tumor: http://cle.clinic/2nQnppG ,A 54-year-old man on immunosuppressants after a renal transplant presented with a recurrent ocular surface tumor: ,0.0,0.0,0,1,0,0,1,Neutral,Objective
6,Endocrinologists review the role of diet in managing patients with type 2 diabetes and obesity: http://cle.clinic/2GlDivP ,Endocrinologists review the role of diet in managing patients with type 2 diabetes and obesity: ,0.0,0.0,0,1,0,0,1,Neutral,Objective
7,Perioperative weight loss minimizes surgical complications associated with obesity and sets patients up for success postsurgery: https://cle.clinic/2L4IOK8 ,Perioperative weight loss minimizes surgical complications associated with obesity and sets patients up for success postsurgery: ,0.3,0.0,0,1,1,0,0,Positive,Objective
8,This late-September CME event will provide one of the deepest educational dives ever into atrial isomerism/heterotaxy syndrome: https://cle.clinic/2mqbPBl ,This late-September CME event will provide one of the deepest educational dives ever into atrial isomerism/heterotaxy syndrome: ,0.25,0.25,0,1,1,0,0,Positive,Objective
9,Many patients and doctors do not fully understand the risks and benefits of percutaneous coronary intervention for stable angina: https://cle.clinic/2KyQTTE ,Many patients and doctors do not fully understand the risks and benefits of percutaneous coronary intervention for stable angina: ,0.5,0.5,0,1,1,0,0,Positive,Objective
10,A variety of new targeted treatments for breast cancer are having positive outcomes in clinical trials: http://cle.clinic/2ArcZ4h ,A variety of new targeted treatments for breast cancer are having positive outcomes in clinical trials: ,0.18181818181818185,0.5,0,1,1,0,0,Positive,Objective
11,A neurosurgeon argues that states should use trauma care as the model for emergency medical transport of patients with stroke: https://cle.clinic/2JHtTk7 ,A neurosurgeon argues that states should use trauma care as the model for emergency medical transport of patients with stroke: ,0.0,0.0,0,1,0,0,1,Neutral,Objective
12,New grant will fund three research projects aimed at improving patient outcomes through prevention of atrial fibrillation development and progression: https://cle.clinic/2yLZbFQ ,New grant will fund three research projects aimed at improving patient outcomes through prevention of atrial fibrillation development and progression: ,0.13636363636363635,0.4545454545454545,0,1,1,0,0,Positive,Objective
13,Fecal microbiota transplantation can eliminate C difficile-associated diarrhea virtually overnight: http://cle.clinic/2amfnxN ,Fecal microbiota transplantation can eliminate C difficile-associated diarrhea virtually overnight: ,0.0,0.0,0,1,0,0,1,Neutral,Objective
14,Surgical procedures for benign prostate enlargement can help male patients avoid a lifetime of daily medications: https://cle.clinic/2HHVyE1 ,Surgical procedures for benign prostate enlargement can help male patients avoid a lifetime of daily medications: ,0.0,0.05,0,1,0,0,1,Neutral,Objective
