,tweet,processed_tweet,polarity,subjectivity,sub,obj,pos,neg,neu,Sentiment,Objectivity
0,"@StanfordHumSci “In the stories of Hecuba and Helen, Euripides created strong female protagonists who persist and resist male patriarchy, who seize control of their destinies in startling ways,” says @StanfordHumsci theater and performance studies professor Rush Rehm. https://stanford.io/2JQgFBa ","StanfordHumSci “In the stories of Hecuba and Helen, Euripides created strong female protagonists who persist and resist male patriarchy, who seize control of their destinies in startling ways,” says StanfordHumsci theater and performance studies professor Rush Rehm. ",-0.016666666666666673,0.375,0,1,0,1,0,Negative,Objective
1,Stanford researchers found strong evidence that hotter weather increases both suicide rates and the use of depressive language on social media. @StanfordEarth https://stanford.io/2JRd71n ,Stanford researchers found strong evidence that hotter weather increases both suicide rates and the use of depressive language on social media. StanfordEarth ,0.2333333333333333,0.4,0,1,1,0,0,Positive,Objective
2,"“We have to start considering the pathways by which we might inadvertently create the bad form of chromium from the good and end up contaminating our aquifers,” says @StanfordEarth professor Scott Fendorf. https://stanford.io/2LytncE ","“We have to start considering the pathways by which we might inadvertently create the bad form of chromium from the good and end up contaminating our aquifers,” says StanfordEarth professor Scott Fendorf. ",5.551115123125783e-17,0.6333333333333333,1,0,1,0,0,Positive,Subjective
3,"A group led by Stanford materials scientist Alberto Salleo has created a stretchy patch that, when applied directly to the skin, wicks up sweat and assesses how much cortisol a person is producing. https://stanford.io/2JRCq3A ","A group led by Stanford materials scientist Alberto Salleo has created a stretchy patch that, when applied directly to the skin, wicks up sweat and assesses how much cortisol a person is producing. ",0.15000000000000002,0.30000000000000004,0,1,1,0,0,Positive,Objective
4,.@StanfordHumSci biologists Paul Ehrlich and Rodolfo Dirzo warn that some species will face extinction within the U.S. if their movements are cut off by the continuous border wall President Trump has pledged to build. https://stanford.io/2LFl5Q2 ,.StanfordHumSci biologists Paul Ehrlich and Rodolfo Dirzo warn that some species will face extinction within the U.S. if their movements are cut off by the continuous border wall President Trump has pledged to build. ,0.0,0.0,0,1,0,0,1,Neutral,Objective
5,“These documents are evidence for the conversations occurring among people from different linguistic backgrounds.” says Stanford historian Rowan Dorin. https://stanford.io/2JR0u6s ,“These documents are evidence for the conversations occurring among people from different linguistic backgrounds.” says Stanford historian Rowan Dorin. ,0.05,0.35,0,1,1,0,0,Positive,Objective
6,"""Better understanding the causes of suicide is a public health priority,"" says @MarshallBBurke. https://stanford.io/2LKkj19 ","""Better understanding the causes of suicide is a public health priority,"" says MarshallBBurke. ",0.25,0.2833333333333333,0,1,1,0,0,Positive,Objective
7,"Pairing police with health-care professionals could provide better care and cost savings in the long term, writes @StanfordMed resident Nathaniel Morris. https://stanford.io/2uLglPs ","Pairing police with health-care professionals could provide better care and cost savings in the long term, writes StanfordMed resident Nathaniel Morris. ",0.225,0.45,0,1,1,0,0,Positive,Objective
8,"Physicians' steps to avoid liability might not improve patient care, says @StanfordLaw's Michelle Mello. https://stanford.io/2LL0wyK ","Physicians' steps to avoid liability might not improve patient care, says StanfordLaw's Michelle Mello. ",0.0,0.0,0,1,0,0,1,Neutral,Objective
9,"After Hecuba/Helen’s Stanford run, Stanford Repertory Theater will remount the production in September in Athens, the city of the story’s origin.  https://stanford.io/2JOt20C  pic.twitter.com/eNMDjWjJXK","After Hecuba/Helen’s Stanford run, Stanford Repertory Theater will remount the production in September in Athens, the city of the story’s origin.   ",0.0,0.0,0,1,0,0,1,Neutral,Objective
