,tweet,processed_tweet,polarity,subjectivity,sub,obj,pos,neg,neu,Sentiment,Objectivity
0,"Compared with the general population, few physicians have disabilities. But don't tell that to one @umichmedicine doctor, @Okanlami, M.D., M.S. Learn more about @UM_OHEI's very own inspiring director of medical student programs here!  #DisabusingDisability  https://www.mmheadlines.org/2018/07/disabusing-disability-a-doctors-paralyzing-injury-brings-new-perspective/?utm_campaign=Newsletter&utm_source=Newsletter_20180710&utm_medium=email …","Compared with the general population, few physicians have disabilities. But don't tell that to one umichmedicine doctor, Okanlami, M.D., M.S. Learn more about UM_OHEI's very own inspiring director of medical student programs here!  DisabusingDisability  ",0.2716666666666667,0.5166666666666667,1,0,1,0,0,Positive,Subjective
1,This week students started their clinical immersion at Komfo Anokye Teaching Hospital in Kumasi Ghana! They will be working with students from @_KNUST_  to identify and define unmet needs in #MaternalHealth and #emergency medicine that can be addressed with #design. #globalhealth pic.twitter.com/OUFPrgP7s3,This week students started their clinical immersion at Komfo Anokye Teaching Hospital in Kumasi Ghana! They will be working with students from _KNUST_  to identify and define unmet needs in MaternalHealth and emergency medicine that can be addressed with design. globalhealth ,0.0,0.0,0,1,0,0,1,Neutral,Objective
2,"@TheRock @mat_fraser I’d love to discuss this (and our work/plans @UMich, @umfamilymed, @UM_OHEI, & @umichmedicine) with Mat, Dwayne, @JayRuderman, or anyone at @RudermanFdn or @FordFoundation. #DisabusingDisability #DocsWithDisabilities","TheRock mat_fraser I’d love to discuss this (and our work/plans UMich, umfamilymed, UM_OHEI, & umichmedicine) with Mat, Dwayne, JayRuderman, or anyone at RudermanFdn or FordFoundation. DisabusingDisability DocsWithDisabilities",0.5,0.6,1,0,1,0,0,Positive,Subjective
3,Looking forward to being part of this interview day representing @UM_OHEI. “It’s great to be a Michigan Wolverine!” #GoBlue @umichmedicine @UMichMedAdmiss https://twitter.com/umichmedadmiss/status/1018928222216605697 …,Looking forward to being part of this interview day representing UM_OHEI. “It’s great to be a Michigan Wolverine!” GoBlue umichmedicine UMichMedAdmiss ,1.0,0.75,1,0,1,0,0,Positive,Subjective
4,You are on a roll soon-to-be Dr. @tsaiduck77! I will be giving Grand Rounds at Brown in October. Would love to connect while I’m there if you are around. @UM_OHEI @umichmedicine https://twitter.com/tsaiduck77/status/1017140599475064837 …,You are on a roll soon-to-be Dr. tsaiduck77! I will be giving Grand Rounds at Brown in October. Would love to connect while I’m there if you are around. UM_OHEI umichmedicine ,0.5,0.8,1,0,1,0,0,Positive,Subjective
5,"Following a transformative experience volunteering in Haiti after a devastating earthquake, Yolaine Civil, M.D., had ambitions to make a difference in Africa. Read about this recent Fulbright Scholarship recipient's journey in @umichmedicine's #Headlines:  https://www.mmheadlines.org/2018/06/a-global-scholar-fulbright-recipient-tackling-health-disparities-in-africa/?utm_campaign=Newsletter&utm_source=Newsletter_20180621&utm_medium=email …","Following a transformative experience volunteering in Haiti after a devastating earthquake, Yolaine Civil, M.D., had ambitions to make a difference in Africa. Read about this recent Fulbright Scholarship recipient's journey in umichmedicine's Headlines:  ",-0.3333333333333333,0.45,0,1,0,1,0,Negative,Objective
6,Kudos to Nicole Agaronnik for her valuable contribution to JAMA and Medicine! Using Wheelchair Ballroom Dance in Disability Education  https://ja.ma/2LaKkX1  #DocsWithDisabilities #AccessInMedEd,Kudos to Nicole Agaronnik for her valuable contribution to JAMA and Medicine! Using Wheelchair Ballroom Dance in Disability Education   DocsWithDisabilities AccessInMedEd,0.0,0.0,0,1,0,0,1,Neutral,Objective
7,"@StacyCJones @fullerenes @Okanlami @CheriBlauwetMD @LoggheMD @DisabilityFdn @DisVisibility @Diversability @LurieInstitute @CAPD_ca @PamLiaoMD @UM_IHPI @UM_OHEI @umichmedicine @umfamilymed @MeeksLisa Thanks for creating #DocsWithDisabilities ! I was diagnosed with a mental health disability during my residency and have had a rough ride of it since then- neither my program nor I knew what to do in terms of accommodation and support. Good to see other, positive stories.","StacyCJones fullerenes Okanlami CheriBlauwetMD LoggheMD DisabilityFdn DisVisibility Diversability LurieInstitute CAPD_ca PamLiaoMD UM_IHPI UM_OHEI umichmedicine umfamilymed MeeksLisa Thanks for creating DocsWithDisabilities ! I was diagnosed with a mental health disability during my residency and have had a rough ride of it since then- neither my program nor I knew what to do in terms of accommodation and support. Good to see other, positive stories.",0.14204545454545456,0.3867424242424242,0,1,1,0,0,Positive,Objective
8,"Thank you for this. I’d love to discuss this, and our work/plans @UMich, @umfamilymed, @UM_OHEI, & @umichmedicine with @TheRock @JayRuderman, or anyone at @RudermanFdn or @FordFoundation. #DisabusingDisability #DocsWithDisabilities #DisabilityIsDiversity https://twitter.com/jayruderman/status/1017427606533279746 …","Thank you for this. I’d love to discuss this, and our work/plans UMich, umfamilymed, UM_OHEI, & umichmedicine with TheRock JayRuderman, or anyone at RudermanFdn or FordFoundation. DisabusingDisability DocsWithDisabilities DisabilityIsDiversity ",0.5,0.6,1,0,1,0,0,Positive,Subjective
9,"It's painful to watch inspiring people feel doubt about being their entire, beautiful selves. Recently, @BostonGlobe, @natlwc4bl, & @guardian wrote abt #diversity in healthcare. But what abt inclusion? It's time for D&I offices to earn their ampersand. https://blogs.scientificamerican.com/voices/diversity-and-inclusion-in-medical-schools-the-reality/ …","It's painful to watch inspiring people feel doubt about being their entire, beautiful selves. Recently, BostonGlobe, natlwc4bl, & guardian wrote abt diversity in healthcare. But what abt inclusion? It's time for D&I offices to earn their ampersand. ",0.13,0.755,1,0,1,0,0,Positive,Subjective
