,tweet,processed_tweet,polarity,subjectivity,sub,obj,pos,neg,neu,Sentiment,Objectivity
0,"John Trojanowski, Iqbal lifetime achievement award from @alzassociation, well deserved! Anyone who knows him knows he is far from done! @PennPathLabMed #AAIC2018 #AAIC18 #neuropathology #EndAlz pic.twitter.com/yX7SfZwzP0","John Trojanowski, Iqbal lifetime achievement award from alzassociation, well deserved! Anyone who knows him knows he is far from done! PennPathLabMed AAIC2018 AAIC18 neuropathology EndAlz ",0.125,1.0,1,0,1,0,0,Positive,Subjective
1,@PennMedNews Largest Genetic Database on Alzheimer’s Disease Now Open for Business:  https://www.pennmedicine.org/news/news-releases/2018/july/largest-genetic-database-on-alzheimers-disease-now-reopen-for-business … via @pennmednews cc @niagads,PennMedNews Largest Genetic Database on Alzheimer’s Disease Now Open for Business:   via pennmednews cc niagads,0.0,0.5,0,1,0,0,1,Neutral,Objective
2,From Startup to Meltdown -- The Unraveling of Theranos:   http://knowledge.wharton.upenn.edu/article/the-secrets-and-lies-that-sunk-theranos/ … via @whartonknows,From Startup to Meltdown -- The Unraveling of Theranos:    via whartonknows,0.0,0.0,0,1,0,0,1,Neutral,Objective
3,"In this video, the concepts, process, and uses of CAR T-cell therapy are explained. Read the full review article on chimeric antigen receptor therapy:  https://nej.md/2tPkmBW  pic.twitter.com/rakOyxZjMY","In this video, the concepts, process, and uses of CAR T-cell therapy are explained. Read the full review article on chimeric antigen receptor therapy:   ",0.35,0.55,1,0,1,0,0,Positive,Subjective
4,One of our program graduates! @PennPathLabMed @david_b_roth2 @feldmanm30 @mlage @emma_furth @lendeschwartz https://twitter.com/SurgeonRetina/status/1019188590142685185 …,One of our program graduates! PennPathLabMed david_b_roth2 feldmanm30 mlage emma_furth lendeschwartz ,0.0,0.0,0,1,0,0,1,Neutral,Objective
5,Congrats to @PennMedicine’s Avery Posey on his @CureSearch 2018 Young Investigator Award. Posey is one of only two recipients of the award nationally. He’s developing a CAR T therapy for neuroblastoma. RT @CureSearch https://twitter.com/CureSearch/status/1019227171557134337 …,Congrats to PennMedicine’s Avery Posey on his CureSearch 2018 Young Investigator Award. Posey is one of only two recipients of the award nationally. He’s developing a CAR T therapy for neuroblastoma. RT CureSearch ,0.05,0.7,1,0,1,0,0,Positive,Subjective
6,A CAR-T bottleneck: Centers that collect patient cells feel crunch from growing demand:  https://www.statnews.com/2018/07/17/car-t-bottleneck-cell-collection-centers-feel-crunch/ … via @statnews,A CAR-T bottleneck: Centers that collect patient cells feel crunch from growing demand:   via statnews,0.0,0.0,0,1,0,0,1,Neutral,Objective
7,"""A Look Forward: Chimeric Antigen Receptor Therapy,"" N Engl J Med → https://dx.doi.org/10.1056/NEJMra1706169 …","""A Look Forward: Chimeric Antigen Receptor Therapy,"" N Engl J Med → ",0.0,0.0,0,1,0,0,1,Neutral,Objective
8,"Pathology is a natural home for physician scientists, allowing opportunities in basic and translational science as well as dry bench data science across a wide range of diseases. https://twitter.com/DanielRemick1/status/1019355347121655808 …","Pathology is a natural home for physician scientists, allowing opportunities in basic and translational science as well as dry bench data science across a wide range of diseases. ",-0.016666666666666663,0.38125,0,1,0,1,0,Negative,Objective
9,"""Change in Diagnostic Criteria for Noninvasive Follicular Thyroid Neoplasm With Papillarylike Nuclear Features,"" JAMA Oncol →  https://dx.doi.org/10.1001/jamaoncol.2018.1446 …","""Change in Diagnostic Criteria for Noninvasive Follicular Thyroid Neoplasm With Papillarylike Nuclear Features,"" JAMA Oncol →  ",0.0,0.0,0,1,0,0,1,Neutral,Objective
10,"""Epidermal Growth Factor Receptor Extracellular Domain Mutations in Glioblastoma Present Opportunities for Clinical Imaging and Therapeutic Development,"" Cancer Cell →  https://dx.doi.org/10.1016/j.ccell.2018.06.006 …","""Epidermal Growth Factor Receptor Extracellular Domain Mutations in Glioblastoma Present Opportunities for Clinical Imaging and Therapeutic Development,"" Cancer Cell →  ",0.0,0.0,0,1,0,0,1,Neutral,Objective
